seller_id,seller_name,seller_city,seller_state,seller_tier,seller_pincode,onboarded_date,seller_rating,business_type
SELL000042,Prisma Store,Chennai,Tamil Nadu,1,352075,2021-05-07,4.0,Small Business
SELL000043,Amara Traders,Agra,Uttar Pradesh,3,144673,2022-06-07,3.9,Reseller
SELL000044,Kanha Enterprises,Vadodara,Gujarat,2,149187,2023-10-07,3.6,Individual
SELL000045,Rasa Enterprises,Hyderabad,Telangana,1,216734,2022-08-22,4.2,Reseller
SELL000046,Kanha Enterprises,Indore,Madhya Pradesh,2,653320,2022-02-19,3.9,Individual
SELL000047,Suraj Enterprises,Rajkot,Gujarat,2,757756,2021-03-25,3.5,Small Business
SELL000048,Rasa Store,Thiruvananthapuram,Kerala,2,481703,2022-06-24,4.5,Small Business
SELL000049,Suraj Enterprises,Lucknow,Uttar Pradesh,2,241251,2021-12-04,4.0,Individual
SELL000050,Prisma Enterprises,Delhi,Delhi,1,796576,2022-10-08,3.9,Small Business
SELL000051,Zenda Traders,Mumbai,Maharashtra,1,317418,2023-09-20,4.7,Individual
SELL000052,Ovi Traders,Lucknow,Uttar Pradesh,2,225263,2022-01-22,3.1,Small Business
SELL000053,Suraj Enterprises,Pune,Maharashtra,1,212897,2022-04-06,4.6,Small Business
SELL000054,Prisma Enterprises,Bengaluru,Karnataka,1,373078,2021-09-19,3.6,Brand Store
SELL000055,Orion Traders,Hyderabad,Telangana,1,658067,2022-05-24,4.1,Individual
SELL000056,Prisma Retail,Chennai,Tamil Nadu,1,405892,2022-09-02,3.7,Reseller
SELL000057,Nirvi Store,Pune,Maharashtra,1,441912,2021-12-02,3.5,Individual
SELL000058,Prisma Mart,Chennai,Tamil Nadu,1,363546,2022-10-03,4.7,Small Business
SELL000059,Suraj Store,Chennai,Tamil Nadu,1,813118,2024-06-27,4.9,Individual
SELL000060,Tanish Store,Delhi,Delhi,1,619364,2021-06-12,3.9,Individual
SELL000061,Rasa Mart,Nashik,Maharashtra,2,604999,2022-12-09,4.2,Individual
SELL000062,Suraj Retail,Lucknow,Uttar Pradesh,2,436077,2021-03-31,4.0,Small Business
SELL000063,Kanha Store,Delhi,Delhi,1,505947,2022-02-05,4.9,Individual
SELL000064,Araku Retail,Kolkata,West Bengal,1,769423,2022-11-25,2.9,Small Business
SELL000065,Araku Traders,Kolkata,West Bengal,1,599267,2024-03-26,4.2,Reseller
SELL000066,Rasa Traders,Surat,Gujarat,2,716357,2023-08-10,3.6,Individual
SELL000067,Ovi Enterprises,Lucknow,Uttar Pradesh,2,140122,2023-06-01,2.8,Individual
SELL000068,Zenda Store,Kanpur,Uttar Pradesh,2,750486,2021-09-02,3.8,Individual
SELL000069,Bluewood Enterprises,Patna,Bihar,2,818353,2022-11-08,4.9,Individual
SELL000070,Zivame Store,Delhi,Delhi,1,607814,2023-04-06,3.7,Small Business
SELL000071,Vayu Mart,Hyderabad,Telangana,1,822652,2022-03-14,4.4,Small Business
SELL000072,Ovi Retail,Mumbai,Maharashtra,1,533032,2021-02-12,4.6,Individual
SELL000073,Kanha Enterprises,Kolkata,West Bengal,1,315757,2020-12-23,4.0,Individual
SELL000074,Aveer Retail,Kolkata,West Bengal,1,561758,2021-06-28,4.1,Small Business
SELL000075,Rasa Traders,Coimbatore,Tamil Nadu,2,578154,2021-10-29,3.1,Individual
SELL000076,Meraki Mart,Delhi,Delhi,1,217757,2022-10-22,3.6,Small Business
SELL000077,Trisha Store,Lucknow,Uttar Pradesh,2,260451,2022-07-14,4.5,Reseller
SELL000078,Ovi Store,Hyderabad,Telangana,1,327128,2024-06-04,4.0,Individual
SELL000079,Tanish Retail,Chennai,Tamil Nadu,1,517930,2022-06-06,4.2,Small Business
SELL000080,Kanha Store,Chandigarh,Chandigarh,1,220273,2023-09-05,4.1,Brand Store
SELL000081,Zivame Store,Mumbai,Maharashtra,1,684328,2022-11-03,5.0,Small Business
SELL000082,Kaya Enterprises,Hyderabad,Telangana,1,191569,2022-03-28,3.8,Brand Store
SELL000083,Yugen Traders,Chennai,Tamil Nadu,1,810277,2023-02-13,4.8,Brand Store
SELL000084,Rasa Enterprises,Chandigarh,Chandigarh,1,613552,2022-09-05,4.1,Small Business
SELL000085,Zenda Retail,Bengaluru,Karnataka,1,362756,2023-03-20,4.8,Small Business
SELL000086,Tanish Mart,Mangaluru,Karnataka,2,387585,2021-03-07,3.4,Small Business
SELL000087,Nirvi Store,Puducherry,Puducherry,2,626742,2022-05-10,4.1,Small Business
SELL000088,Kanha Retail,Ranchi,Jharkhand,3,176158,2023-07-09,3.8,Small Business
SELL000089,Orion Mart,Hyderabad,Telangana,1,643822,2024-04-27,4.1,Individual
SELL000090,Kaya Enterprises,Indore,Madhya Pradesh,2,521431,2023-05-04,4.6,Brand Store
SELL000091,Orion Enterprises,Mumbai,Maharashtra,1,274782,2023-05-16,4.2,Individual
SELL000092,Meraki Mart,Vadodara,Gujarat,2,778587,2023-07-27,4.6,Individual
SELL000093,Trisha Mart,Ahmedabad,Gujarat,1,578702,2020-12-04,3.7,Individual
SELL000094,Tanish Store,Delhi,Delhi,1,231946,2022-10-16,3.6,Individual
SELL000095,Orion Traders,Hyderabad,Telangana,1,598365,2022-05-10,4.0,Small Business
SELL000096,Vayu Mart,Guwahati,Assam,3,416419,2022-08-11,4.0,Individual
SELL000097,BharatTech Store,Vadodara,Gujarat,2,679326,2023-08-13,3.9,Small Business
SELL000098,Bluewood Store,Ahmedabad,Gujarat,1,476683,2021-08-27,3.5,Small Business
SELL000099,Prisma Traders,Pune,Maharashtra,1,855077,2022-06-13,4.6,Individual
SELL000100,BharatTech Retail,Kochi,Kerala,2,800965,2022-01-12,3.8,Individual
SELL000101,Sattva Mart,Raipur,Chhattisgarh,3,139978,2023-05-26,4.7,Small Business
SELL000102,Suraj Mart,Thiruvananthapuram,Kerala,2,416216,2023-06-28,4.0,Small Business
SELL000103,Tanish Retail,Chennai,Tamil Nadu,1,260741,2021-09-16,4.3,Individual
SELL000104,Meraki Retail,Kanpur,Uttar Pradesh,2,445488,2024-03-19,4.3,Individual
