order_id,carrier,ship_ts,estimated_delivery_date,delivered_ts,delivery_status
ORD000000024,XpressBees,2023-11-19 07:10:43,2023-11-22,2023-11-24 07:10:43,delivered
ORD000000025,XpressBees,2024-10-22 04:34:17,2024-10-23,2024-10-26 04:34:17,delivered
ORD000000026,Shadowfax,2024-08-18 12:16:28,2024-08-21,2024-08-21 12:16:28,delivered
ORD000000027,IndiaPost,2024-06-24 13:08:11,2024-06-26,2024-06-29 13:08:11,delivered
ORD000000028,Ekart,2023-12-21 17:46:08,2023-12-28,2024-01-02 17:46:08,delivered
ORD000000029,XpressBees,2023-12-02 02:02:32,2023-12-05,,in_transit
ORD000000030,IndiaPost,2023-01-06 19:30:10,2023-01-08,2023-01-10 19:30:10,delivered
ORD000000031,Shadowfax,2024-03-24 14:23:53,2024-03-27,2024-03-29 14:23:53,delivered
ORD000000032,BlueDart,2024-03-05 14:31:48,2024-03-06,2024-03-09 14:31:48,delivered
ORD000000033,Delhivery,2023-01-04 05:17:32,2023-01-08,2023-01-09 05:17:32,delivered
ORD000000034,BlueDart,2023-04-27 01:23:58,2023-04-29,2023-04-30 01:23:58,delivered
ORD000000035,IndiaPost,2023-01-07 23:38:07,2023-01-12,2023-01-15 23:38:07,delivered
ORD000000036,Delhivery,2023-08-06 13:50:10,2023-08-13,2023-08-14 13:50:10,delivered
ORD000000037,Shadowfax,2023-01-03 04:50:04,2023-01-08,2023-01-11 04:50:04,delivered
ORD000000038,IndiaPost,2023-11-07 09:53:30,2023-11-08,2023-11-10 09:53:30,delivered
ORD000000039,BlueDart,2023-12-25 23:03:24,2023-12-28,2023-12-27 23:03:24,delivered
ORD000000041,BlueDart,2023-06-19 01:12:51,2023-06-24,2023-06-24 01:12:51,delivered
ORD000000042,IndiaPost,2024-01-17 06:42:28,2024-01-19,,in_transit
ORD000000043,XpressBees,2024-09-27 13:02:13,2024-10-02,2024-09-30 13:02:13,delivered
ORD000000044,XpressBees,2023-09-09 07:22:20,2023-09-12,2023-09-12 07:22:20,delivered
ORD000000045,Delhivery,2023-09-27 15:46:46,2023-09-28,2023-10-01 15:46:46,delivered
ORD000000046,Delhivery,2024-02-03 15:56:57,2024-02-07,2024-02-10 15:56:57,delivered
ORD000000047,Delhivery,2023-07-21 02:34:06,2023-07-23,2023-07-24 02:34:06,delivered
ORD000000048,BlueDart,2023-10-08 18:11:07,2023-10-13,2023-10-12 18:11:07,delivered
ORD000000049,XpressBees,2023-12-05 03:45:13,2023-12-10,2023-12-12 03:45:13,delivered
ORD000000050,Shadowfax,2023-10-28 03:46:58,2023-11-01,2023-11-04 03:46:58,delivered
ORD000000051,Shadowfax,2024-10-01 18:09:16,2024-10-05,,delivered
ORD000000052,BlueDart,2024-10-11 01:35:36,2024-10-19,,in_transit
ORD000000053,BlueDart,2023-10-31 14:11:55,2023-11-04,2023-11-02 14:11:55,delivered
ORD000000054,Delhivery,2023-12-01 14:28:45,2023-12-03,2023-11-28 14:28:45,delivered
ORD000000055,Shadowfax,2024-12-09 00:09:44,2024-12-11,2024-12-13 00:09:44,delivered
ORD000000057,Shadowfax,2024-12-31 03:10:11,2025-01-01,2025-01-04 03:10:11,delivered
ORD000000058,BlueDart,2024-08-12 23:55:28,2024-08-16,2024-08-17 23:55:28,delivered
ORD000000059,Delhivery,2023-08-15 20:52:11,2023-08-18,2023-08-22 20:52:11,delivered
ORD000000060,Shadowfax,2023-07-16 09:30:13,2023-07-18,2023-07-19 09:30:13,delivered
ORD000000061,Ekart,2023-05-15 19:15:05,2023-05-17,2023-05-22 19:15:05,delivered
ORD000000062,BlueDart,2024-09-21 03:37:13,2024-09-27,2024-09-28 03:37:13,delivered
ORD000000063,Delhivery,2023-09-23 04:42:08,2023-09-25,2023-09-20 04:42:08,in_transit
ORD000000064,XpressBees,2024-05-29 13:42:50,2024-06-03,2024-06-04 13:42:50,delivered
ORD000000065,Shadowfax,2024-01-31 17:10:43,2024-02-03,2024-02-07 17:10:43,delivered
ORD000000066,Ekart,2024-10-04 18:04:28,2024-10-06,2024-10-08 18:04:28,delivered
ORD000000068,Delhivery,2023-02-21 21:24:43,2023-02-24,2023-02-28 21:24:43,delivered
ORD000000069,Ekart,2023-10-08 18:14:14,2023-10-11,2023-10-11 18:14:14,delivered
ORD000000070,Shadowfax,2024-01-13 19:20:13,2024-01-16,,in_transit
ORD000000071,Ekart,2024-09-19 01:19:44,2024-09-22,2024-09-25 01:19:44,delivered
ORD000000072,Shadowfax,2024-06-30 20:33:11,2024-07-04,2024-07-03 20:33:11,delivered
ORD000000073,BlueDart,2024-02-08 21:26:21,2024-02-14,2024-02-12 21:26:21,delivered
ORD000000074,Ekart,2024-09-22 00:15:07,2024-09-24,2024-09-27 00:15:07,delivered
ORD000000075,BlueDart,2023-11-19 14:32:14,2023-11-24,2023-11-25 14:32:14,delivered
ORD000000076,IndiaPost,2023-02-14 16:44:31,2023-02-17,2023-02-16 16:44:31,delivered
ORD000000077,Delhivery,2024-10-21 23:26:36,2024-10-25,2024-10-25 23:26:36,delivered
ORD000000078,XpressBees,2024-01-19 22:59:34,2024-01-22,2024-01-26 22:59:34,delivered
ORD000000080,BlueDart,2023-10-29 06:11:05,2023-10-31,2023-10-31 06:11:05,delivered
ORD000000081,XpressBees,2024-03-14 08:57:27,2024-03-17,2024-03-19 08:57:27,delivered
ORD000000082,Delhivery,2023-10-06 14:39:15,2023-10-14,2023-10-13 14:39:15,delivered
ORD000000083,BlueDart,2023-11-03 23:51:51,2023-11-08,2023-11-06 23:51:51,delivered
ORD000000085,Shadowfax,2024-07-26 16:07:30,2024-07-28,2024-07-31 16:07:30,delivered
ORD000000086,Ekart,2023-08-29 02:48:04,2023-09-03,2023-09-03 02:48:04,delivered
ORD000000087,Delhivery,2023-09-18 13:20:04,2023-09-19,2023-09-22 13:20:04,delivered
ORD000000088,Ekart,2023-10-13 02:42:29,2023-10-16,2023-10-16 02:42:29,delivered
ORD000000089,BlueDart,2023-11-17 23:30:52,2023-11-22,2023-11-21 23:30:52,delivered
ORD000000090,Ekart,2024-03-03 01:22:35,2024-03-08,2024-03-12 01:22:35,delivered
ORD000000091,Ekart,2024-06-05 08:33:22,2024-06-07,2024-06-11 08:33:22,delivered
ORD000000092,Delhivery,2024-05-29 02:29:27,2024-05-31,2024-06-04 02:29:27,delivered
ORD000000093,IndiaPost,2023-11-10 15:26:02,2023-11-12,2023-11-14 15:26:02,delivered
ORD000000094,XpressBees,2023-12-27 18:22:18,2023-12-29,2023-12-29 18:22:18,delivered
ORD000000096,XpressBees,2024-01-16 12:04:04,2024-01-20,2024-01-22 12:04:04,delivered
ORD000000098,Delhivery,2023-12-12 03:24:16,2023-12-14,2023-12-19 03:24:16,delivered
ORD000000099,Shadowfax,2024-11-23 11:36:44,2024-11-25,2024-11-25 11:36:44,delivered
ORD000000100,BlueDart,2023-05-12 13:40:00,2023-05-14,2023-05-13 13:40:00,delivered
ORD000000101,XpressBees,2024-07-22 06:10:25,2024-07-25,2024-07-26 06:10:25,delivered
ORD000000102,XpressBees,2024-06-25 20:53:53,2024-06-29,2024-06-29 20:53:53,delivered
ORD000000103,Shadowfax,2024-06-04 08:35:21,2024-06-10,2024-06-12 08:35:21,delivered
ORD000000104,XpressBees,2024-05-18 00:48:41,2024-05-22,2024-05-24 00:48:41,delivered
ORD000000105,BlueDart,2023-01-17 13:24:26,2023-01-23,2023-01-29 13:24:26,delivered
ORD000000106,Shadowfax,2024-07-27 07:31:38,2024-07-28,2024-07-30 07:31:38,delivered
ORD000000108,XpressBees,2024-01-16 21:33:12,2024-01-22,2024-01-22 21:33:12,delivered
ORD000000109,BlueDart,2023-02-11 05:03:57,2023-02-13,2023-02-14 05:03:57,delivered
ORD000000111,Ekart,2024-11-04 07:42:07,2024-11-06,2024-11-09 07:42:07,delivered
ORD000000112,IndiaPost,2023-09-30 08:57:33,2023-10-03,2023-10-05 08:57:33,delivered
ORD000000113,IndiaPost,2023-10-29 20:27:57,2023-11-02,2023-11-01 20:27:57,delivered
ORD000000114,BlueDart,2023-06-12 03:53:48,2023-06-14,2023-06-16 03:53:48,delivered
ORD000000115,XpressBees,2024-04-21 12:31:29,2024-04-26,2024-04-25 12:31:29,delivered
ORD000000117,IndiaPost,2024-11-08 06:02:32,2024-11-10,2024-11-12 06:02:32,delivered
ORD000000118,IndiaPost,2024-02-19 21:51:11,2024-02-27,2024-02-27 21:51:11,delivered
ORD000000119,Shadowfax,2023-08-26 12:34:47,2023-08-27,2023-09-02 12:34:47,delivered
ORD000000120,XpressBees,2023-02-26 23:40:26,2023-03-03,2023-03-03 23:40:26,delivered
ORD000000121,BlueDart,2023-08-16 09:50:33,2023-08-20,2023-08-21 09:50:33,delivered
ORD000000122,BlueDart,2024-04-08 18:05:50,2024-04-11,2024-04-13 18:05:50,delivered
ORD000000123,BlueDart,2024-12-25 09:48:16,2024-12-27,2024-12-28 09:48:16,delivered
ORD000000124,Delhivery,2023-03-05 17:28:56,2023-03-10,2023-03-11 17:28:56,delivered
ORD000000125,Delhivery,2023-10-27 22:22:59,2023-10-30,2023-11-01 22:22:59,delivered
ORD000000127,Delhivery,2024-03-01 20:52:22,2024-03-06,2024-03-08 20:52:22,delivered
ORD000000128,XpressBees,2024-05-08 14:06:51,2024-05-10,2024-05-11 14:06:51,delivered
ORD000000129,BlueDart,2023-12-14 10:30:20,2023-12-23,2023-12-22 10:30:20,delivered
ORD000000130,XpressBees,2023-08-18 08:01:50,2023-08-21,2023-08-23 08:01:50,delivered
ORD000000131,Ekart,2023-12-27 01:19:43,2023-12-30,2024-01-01 01:19:43,delivered
ORD000000132,IndiaPost,2023-10-25 23:13:44,2023-10-31,2023-10-29 23:13:44,delivered
ORD000000133,Shadowfax,2024-06-28 23:51:56,2024-07-01,2024-07-01 23:51:56,delivered
ORD000000134,IndiaPost,2023-05-26 18:16:47,2023-05-29,2023-05-29 18:16:47,delivered
ORD000000135,IndiaPost,2023-12-31 09:53:09,2024-01-05,2024-01-04 09:53:09,delivered
ORD000000136,BlueDart,2024-12-11 03:34:35,2024-12-13,2024-12-12 03:34:35,delivered
ORD000000137,Ekart,2024-01-24 05:35:53,2024-01-27,2024-01-30 05:35:53,delivered
ORD000000138,Delhivery,2023-07-23 14:15:38,2023-07-27,2023-07-31 14:15:38,delivered
ORD000000139,Delhivery,2024-11-20 20:21:53,2024-11-29,2024-11-26 20:21:53,delivered
ORD000000140,Delhivery,2023-07-29 08:15:30,2023-08-03,2023-08-07 08:15:30,delivered
ORD000000141,Delhivery,2024-08-03 10:07:14,2024-08-05,2024-08-10 10:07:14,delivered
ORD000000142,XpressBees,2023-04-01 14:23:07,2023-04-04,,delivered
ORD000000143,BlueDart,2024-10-11 15:48:46,2024-10-14,2024-10-16 15:48:46,delivered
ORD000000144,Shadowfax,2023-06-03 04:23:47,2023-06-05,2023-06-05 04:23:47,delivered
ORD000000145,Ekart,2023-10-30 11:22:30,2023-11-01,2023-11-02 11:22:30,delivered
ORD000000146,IndiaPost,2024-12-17 17:26:41,2024-12-19,2024-12-19 17:26:41,delivered
ORD000000147,Delhivery,2024-03-05 21:45:16,2024-03-08,2024-03-09 21:45:16,delivered
ORD000000148,Delhivery,2023-08-16 10:40:40,2023-08-17,2023-08-20 10:40:40,delivered
ORD000000149,BlueDart,2023-01-01 12:56:53,2023-01-05,2023-01-05 12:56:53,delivered
ORD000000150,Shadowfax,2023-01-04 04:52:25,2023-01-07,2023-01-07 04:52:25,delivered
ORD000000151,Shadowfax,2023-08-25 08:30:40,2023-08-27,2023-08-28 08:30:40,delivered
ORD000000152,Shadowfax,2024-01-21 17:13:49,2024-01-25,2024-01-28 17:13:49,delivered
ORD000000153,Ekart,2023-12-27 15:39:57,2023-12-30,2023-12-31 15:39:57,delivered
ORD000000154,BlueDart,2024-11-10 08:45:57,2024-11-11,2024-11-11 08:45:57,delivered
ORD000000155,IndiaPost,2024-08-14 08:34:10,2024-08-18,2024-08-21 08:34:10,delivered
ORD000000156,IndiaPost,2024-11-12 02:26:14,2024-11-16,2024-11-19 02:26:14,delivered
ORD000000157,BlueDart,2024-01-07 21:59:54,2024-01-10,2024-01-12 21:59:54,delivered
ORD000000158,Ekart,2023-12-01 04:47:09,2023-12-03,2023-12-06 04:47:09,delivered
ORD000000159,BlueDart,2024-02-22 11:01:01,2024-02-26,2024-02-27 11:01:01,delivered
ORD000000160,Shadowfax,2023-10-23 11:02:20,2023-10-25,2023-10-24 11:02:20,delivered
ORD000000161,Delhivery,2023-06-29 18:19:35,2023-07-04,2023-07-06 18:19:35,delivered
ORD000000162,Ekart,2024-10-08 08:16:11,2024-10-09,2024-10-11 08:16:11,delivered
ORD000000163,IndiaPost,2024-06-02 15:49:25,2024-06-05,,in_transit
ORD000000164,Shadowfax,2023-10-04 15:26:06,2023-10-07,2023-10-05 15:26:06,delivered
ORD000000165,IndiaPost,2023-11-29 18:28:20,2023-12-03,2023-12-05 18:28:20,delivered
ORD000000166,BlueDart,2023-07-11 13:35:00,2023-07-15,2023-07-14 13:35:00,delivered
ORD000000167,BlueDart,2024-02-20 03:33:30,2024-02-22,2024-02-22 03:33:30,delivered
ORD000000168,IndiaPost,2023-10-16 22:30:16,2023-10-18,2023-10-21 22:30:16,delivered
ORD000000169,Ekart,2024-10-24 14:16:13,2024-11-01,2024-10-31 14:16:13,delivered
ORD000000170,Delhivery,2024-01-20 14:21:50,2024-01-24,2024-01-24 14:21:50,delivered
ORD000000172,Ekart,2024-08-03 20:05:49,2024-08-07,2024-08-10 20:05:49,delivered
ORD000000173,XpressBees,2024-11-01 18:59:24,2024-11-05,2024-11-02 18:59:24,delivered
ORD000000174,Shadowfax,2024-10-01 04:07:42,2024-10-05,2024-10-06 04:07:42,delivered
ORD000000175,XpressBees,2024-01-01 04:20:26,2024-01-03,2024-01-04 04:20:26,delivered
ORD000000176,Ekart,2023-10-13 23:49:10,2023-10-17,2023-10-16 23:49:10,delivered
ORD000000177,BlueDart,2024-05-16 11:29:52,2024-05-19,2024-05-19 11:29:52,delivered
ORD000000178,XpressBees,2024-10-01 16:48:57,2024-10-02,2024-10-04 16:48:57,delivered
ORD000000179,BlueDart,2024-12-25 14:35:58,2024-12-29,2024-12-29 14:35:58,delivered
ORD000000181,BlueDart,2024-05-22 18:59:28,2024-05-26,2024-05-26 18:59:28,delivered
ORD000000182,Shadowfax,2023-09-10 16:03:12,2023-09-15,2023-09-17 16:03:12,delivered
ORD000000183,Delhivery,2023-03-13 21:42:24,2023-03-16,2023-03-15 21:42:24,delivered
ORD000000184,BlueDart,2023-08-06 07:49:17,2023-08-08,2023-08-08 07:49:17,delivered
ORD000000185,BlueDart,2023-01-09 20:32:47,2023-01-11,2023-01-13 20:32:47,delivered
ORD000000186,Ekart,2024-01-04 22:01:03,2024-01-08,2024-01-07 22:01:03,delivered
ORD000000187,Shadowfax,2023-10-22 16:36:23,2023-10-25,2023-10-25 16:36:23,delivered
ORD000000188,BlueDart,2024-05-30 22:47:11,2024-06-03,2024-06-04 22:47:11,delivered
ORD000000189,BlueDart,2024-04-06 03:19:20,2024-04-09,2024-04-11 03:19:20,delivered
ORD000000190,Shadowfax,2023-05-23 13:04:19,2023-05-25,2023-05-26 13:04:19,delivered
ORD000000191,Delhivery,2024-05-28 05:21:25,2024-06-04,2024-06-05 05:21:25,delivered
ORD000000192,Delhivery,2023-06-08 16:19:20,2023-06-13,2023-06-14 16:19:20,delivered
ORD000000193,Shadowfax,2023-01-02 22:33:22,2023-01-08,2023-01-08 22:33:22,delivered
ORD000000194,Delhivery,2024-12-22 01:22:59,2024-12-23,2024-12-30 01:22:59,delivered
ORD000000195,BlueDart,2023-01-21 05:42:02,2023-01-25,2023-01-25 05:42:02,delivered
ORD000000196,Delhivery,2023-10-09 12:13:16,2023-10-12,2099-01-01 00:00:00,delivered
ORD000000197,Delhivery,2024-04-27 05:20:34,2024-04-29,2024-04-29 05:20:34,delivered
ORD000000198,BlueDart,2023-10-22 21:34:57,2023-10-24,2023-10-25 21:34:57,delivered
ORD000000199,Delhivery,2023-10-25 23:16:59,2023-10-29,2023-11-01 23:16:59,delivered
ORD000000200,BlueDart,2024-07-10 17:21:41,2024-07-12,,in_transit
ORD000000201,IndiaPost,2024-03-25 15:19:45,2024-03-29,2024-03-28 15:19:45,delivered
ORD000000202,BlueDart,2024-01-14 00:19:47,2024-01-15,2024-01-18 00:19:47,delivered
ORD000000203,Delhivery,2024-10-27 10:30:31,2024-11-03,2024-11-03 10:30:31,delivered
ORD000000204,Delhivery,2023-04-02 13:31:07,2023-04-03,2023-04-06 13:31:07,delivered
ORD000000205,BlueDart,2023-12-21 04:55:43,2023-12-23,2023-12-23 04:55:43,delivered
ORD000000206,BlueDart,2023-07-24 05:05:26,2023-07-28,2023-07-30 05:05:26,delivered
ORD000000207,BlueDart,2023-01-27 23:20:55,2023-02-01,2023-02-02 23:20:55,delivered
ORD000000208,BlueDart,2024-12-26 14:22:45,2024-12-31,2025-01-01 14:22:45,delivered
ORD000000209,XpressBees,2024-07-19 09:57:00,2024-07-21,2024-07-25 09:57:00,delivered
ORD000000210,BlueDart,2023-07-04 00:18:36,2023-07-06,2023-07-08 00:18:36,delivered
ORD000000211,Delhivery,2023-11-01 11:23:09,2023-11-03,2023-11-02 11:23:09,delivered
ORD000000212,XpressBees,2023-07-13 02:59:26,2023-07-18,2023-07-18 02:59:26,delivered
ORD000000213,XpressBees,2024-06-06 16:17:08,2024-06-09,2024-06-11 16:17:08,delivered
ORD000000214,IndiaPost,2023-10-11 16:25:34,2023-10-14,2023-10-15 16:25:34,delivered
ORD000000215,IndiaPost,2024-11-06 16:04:34,2024-11-10,2024-11-08 16:04:34,delivered
ORD000000216,IndiaPost,2023-06-26 22:19:49,2023-06-30,2023-06-30 22:19:49,delivered
ORD000000217,IndiaPost,2023-10-11 16:56:32,2023-10-16,2023-10-17 16:56:32,delivered
ORD000000218,Delhivery,2024-11-18 16:03:11,2024-11-19,2024-11-19 16:03:11,delivered
ORD000000219,Ekart,2024-10-27 19:52:59,2024-10-30,2024-10-30 19:52:59,delivered
ORD000000220,XpressBees,2023-09-10 13:37:20,2023-09-12,2023-09-14 13:37:20,delivered
ORD000000221,Delhivery,2023-12-28 00:35:12,2023-12-29,2024-01-02 00:35:12,delivered
ORD000000222,Delhivery,2024-10-27 10:19:50,2024-10-28,2024-10-28 10:19:50,delivered
ORD000000223,XpressBees,2024-05-25 15:56:22,2024-05-27,2024-06-02 15:56:22,delivered
ORD000000224,XpressBees,2024-04-27 06:46:01,2024-04-30,,in_transit
ORD000000226,Delhivery,2024-11-08 16:23:23,2024-11-10,,delivered
ORD000000227,Shadowfax,2024-01-11 12:24:13,2024-01-13,2024-01-15 12:24:13,delivered
ORD000000228,Ekart,2023-06-04 16:11:23,2023-06-12,2023-06-12 16:11:23,delivered
ORD000000230,Shadowfax,2024-07-16 09:05:17,2024-07-17,2024-07-18 09:05:17,delivered
ORD000000231,IndiaPost,2023-12-29 23:12:24,2024-01-01,2024-01-03 23:12:24,delivered
ORD000000232,XpressBees,2023-09-26 15:58:26,2023-10-02,,in_transit
ORD000000233,BlueDart,2024-05-21 03:15:39,2024-05-23,2024-05-26 03:15:39,delivered
ORD000000234,Delhivery,2023-12-04 23:10:39,2023-12-06,2023-12-06 23:10:39,delivered
ORD000000235,XpressBees,2024-12-14 01:15:26,2024-12-18,2024-12-21 01:15:26,delivered
ORD000000236,Ekart,2023-10-13 14:35:31,2023-10-17,2023-10-19 14:35:31,delivered
ORD000000237,IndiaPost,2024-07-05 09:37:15,2024-07-10,2024-07-11 09:37:15,delivered
ORD000000238,BlueDart,2024-02-13 18:40:07,2024-02-16,2024-02-15 18:40:07,delivered
ORD000000239,XpressBees,2023-03-05 15:30:53,2023-03-08,2023-03-10 15:30:53,delivered
ORD000000240,BlueDart,2023-12-21 11:45:33,2023-12-26,2023-12-29 11:45:33,delivered
ORD000000241,Ekart,2023-01-22 15:01:22,2023-01-24,2023-01-26 15:01:22,delivered
ORD000000242,IndiaPost,2024-09-06 06:26:16,2024-09-14,2024-09-15 06:26:16,delivered
ORD000000243,IndiaPost,2024-07-20 03:33:35,2024-07-22,2024-07-23 03:33:35,delivered
ORD000000244,Ekart,2023-02-09 15:15:39,2023-02-14,2023-02-16 15:15:39,delivered
ORD000000246,BlueDart,2024-12-14 22:28:14,2024-12-15,,in_transit
ORD000000247,Ekart,2023-09-02 09:47:21,2023-09-04,2023-09-05 09:47:21,delivered
ORD000000248,BlueDart,2024-11-01 23:50:40,2024-11-05,2024-11-04 23:50:40,delivered
ORD000000249,IndiaPost,2023-05-09 20:47:58,2023-05-12,2023-05-15 20:47:58,delivered
ORD000000250,XpressBees,2023-01-02 15:29:26,2023-01-07,2023-01-08 15:29:26,delivered
ORD000000251,XpressBees,2024-01-24 05:14:59,2024-01-27,2024-01-21 05:14:59,delivered
ORD000000252,XpressBees,2023-07-25 00:37:23,2023-07-28,2023-08-02 00:37:23,delivered
ORD000000253,BlueDart,2024-10-26 09:33:08,2024-10-27,2024-11-01 09:33:08,delivered
ORD000000254,BlueDart,2024-05-26 21:29:33,2024-05-29,2024-05-31 21:29:33,delivered
ORD000000256,IndiaPost,2024-05-27 20:36:03,2024-05-29,2024-05-31 20:36:03,delivered
ORD000000257,IndiaPost,2024-06-02 01:42:10,2024-06-05,,in_transit
ORD000000259,BlueDart,2024-05-24 16:25:56,2024-05-27,2024-05-26 16:25:56,delivered
ORD000000262,IndiaPost,2023-10-12 07:50:59,2023-10-14,2023-10-14 07:50:59,delivered
ORD000000263,IndiaPost,2023-12-18 18:50:46,2023-12-20,2023-12-20 18:50:46,delivered
ORD000000264,BlueDart,2023-11-25 13:11:50,2023-12-03,2023-12-04 13:11:50,delivered
ORD000000265,Shadowfax,2023-10-07 06:38:18,2023-10-09,,delivered
ORD000000266,Ekart,2023-11-05 02:36:34,2023-11-08,2023-11-07 02:36:34,delivered
ORD000000267,IndiaPost,2023-10-28 01:22:39,2023-10-30,2023-10-29 01:22:39,delivered
ORD000000268,XpressBees,2023-04-03 05:52:49,2023-04-08,2023-04-08 05:52:49,delivered
ORD000000269,Shadowfax,2024-10-05 08:56:50,2024-10-08,2024-10-09 08:56:50,delivered
ORD000000270,Delhivery,2024-08-08 15:24:28,2024-08-10,2024-08-12 15:24:28,delivered
ORD000000271,Ekart,2023-10-07 17:39:16,2023-10-10,2023-10-13 17:39:16,delivered
ORD000000272,Ekart,2024-11-29 18:29:23,2024-12-02,2024-12-02 18:29:23,delivered
ORD000000273,Ekart,2024-12-02 22:14:48,2024-12-05,2024-12-08 22:14:48,delivered
ORD000000276,XpressBees,2023-10-22 13:48:11,2023-10-26,2023-10-26 13:48:11,delivered
ORD000000277,IndiaPost,2023-12-10 15:17:40,2023-12-14,2023-12-13 15:17:40,delivered
ORD000000278,IndiaPost,2024-07-06 16:14:21,2024-07-10,,in_transit
ORD000000280,IndiaPost,2024-06-01 02:31:18,2024-06-06,2024-06-05 02:31:18,delivered
ORD000000281,Delhivery,2024-08-17 17:02:30,2024-08-21,2024-08-21 17:02:30,delivered
ORD000000282,BlueDart,2024-12-03 10:39:06,2024-12-07,2024-12-08 10:39:06,delivered
ORD000000283,Ekart,2024-02-10 11:32:40,2024-02-13,2024-02-15 11:32:40,delivered
ORD000000284,XpressBees,2024-11-03 05:22:38,2024-11-04,2024-11-04 05:22:38,delivered
ORD000000285,IndiaPost,2024-09-28 10:29:50,2024-10-03,2024-10-04 10:29:50,delivered
ORD000000286,Delhivery,2023-10-08 20:10:13,2023-10-16,2023-10-16 20:10:13,delivered
ORD000000287,XpressBees,2024-09-26 08:23:27,2024-09-30,2024-10-02 08:23:27,delivered
ORD000000288,BlueDart,2023-04-10 11:02:51,2023-04-14,2023-04-15 11:02:51,delivered
ORD000000289,Shadowfax,2023-05-16 00:38:05,2023-05-17,2023-05-20 00:38:05,delivered
ORD000000291,Ekart,2023-11-15 17:17:28,2023-11-18,2023-11-23 17:17:28,delivered
ORD000000292,IndiaPost,2023-12-13 02:58:42,2023-12-16,2023-12-17 02:58:42,delivered
ORD000000294,Ekart,2023-10-18 16:55:04,2023-10-21,2023-10-23 16:55:04,delivered
ORD000000296,BlueDart,2023-03-06 19:40:32,2023-03-09,,in_transit
ORD000000297,XpressBees,2024-01-16 15:15:27,2024-01-18,2024-01-17 15:15:27,delivered
ORD000000298,BlueDart,2023-06-20 20:03:24,2023-06-23,2023-06-26 20:03:24,delivered
ORD000000299,XpressBees,2023-02-22 22:36:08,2023-02-24,2023-02-24 22:36:08,delivered
ORD000000300,XpressBees,2024-09-25 18:33:08,2024-10-03,2024-10-04 18:33:08,delivered
ORD000000301,IndiaPost,2023-10-04 18:01:46,2023-10-08,2023-10-07 18:01:46,delivered
ORD000000302,Ekart,2024-03-06 06:50:24,2024-03-08,2024-03-09 06:50:24,delivered
ORD000000303,BlueDart,2023-03-29 00:36:31,2023-04-03,2023-04-05 00:36:31,delivered
ORD000000304,XpressBees,2024-01-03 04:14:32,2024-01-08,2024-01-11 04:14:32,delivered
ORD000000305,IndiaPost,2024-04-21 17:39:34,2024-04-28,2024-05-02 17:39:34,delivered
ORD000000306,XpressBees,2023-12-02 08:50:21,2023-12-05,2023-12-06 08:50:21,delivered
ORD000000307,BlueDart,2023-10-08 21:42:04,2023-10-10,2023-10-13 21:42:04,delivered
ORD000000309,IndiaPost,2023-04-02 08:34:19,2023-04-06,2023-04-08 08:34:19,delivered
ORD000000310,Delhivery,2023-04-06 16:55:12,2023-04-09,2023-04-10 16:55:12,delivered
ORD000000311,IndiaPost,2024-01-01 11:46:34,2024-01-03,2024-01-06 11:46:34,delivered
