product_id,product_name,category,subcategory,brand,mrp_inr,weight_grams
PROD0000084,Tanish Fragrance,Beauty & Personal Care,Fragrance,Kaya,1181.0,284
PROD0000085,Vayu Speakers,Electronics,Speakers,Zenda,59248.0,4107
PROD0000086,Bluewood School Supplies,Toys & Baby,School Supplies,Vayu,566.0,2746
PROD0000087,BharatTech Baby Care,Toys & Baby,Baby Care,Zenda,546.0,4730
PROD0000088,Kaya Fitness Equipment,Sports & Fitness,Fitness Equipment,Indus,1111.0,6133
PROD0000089,Zenda Footwear,Fashion,Footwear,Sattva,2862.0,432
PROD0000090,Meraki Microwave,Appliances,Microwave,Tanish,5255.0,9627
PROD0000091,Kaya Haircare,Beauty & Personal Care,Haircare,Prisma,1496.0,68
PROD0000092,Bluewood Power Banks,Mobiles & Accessories,Power Banks,Nova,13416.0,66
PROD0000093,Kanha Smart Watches,Electronics,Smart Watches,Vayu,20780.0,981
PROD0000094,Ovi Laptops,Electronics,Laptops,Amara,54864.0,1122
PROD0000095,Bluewood Footwear,Fashion,Footwear,Indus,1357.0,377
PROD0000096,Tanish Footwear,Sports & Fitness,Footwear,Zenda,932.0,8419
PROD0000097,Indus Beverages,Grocery,Beverages,Sattva,287.0,7287
PROD0000098,Ovi Women Ethnic,FASHION,Women Ethnic,Trisha,511.0,1055
PROD0000099,Nirvi Dining,Home & Kitchen,Dining,Vira,1549.0,1797
PROD0000100,Araku Cameras,Electronics,Cameras,Suraj,15352.0,4906
PROD0000101,Meraki Bags,Fashion,Bags,Yugen,1021.0,1032
PROD0000102,Indus Chargers,Mobiles & Accessories,Chargers,Bluewood,20256.0,54
PROD0000103,Indus Skincare,Beauty & Personal Care,Skincare,Zenda,394.0,243
PROD0000104,Amara Fragrance,Beauty & Personal Care,Fragrance,Zenda,1097.0,373
PROD0000105,Zivame Personal Hygiene,Grocery,Personal Hygiene,Amara,440.0,8192
PROD0000106,Sattva Beverages,Grocery,Beverages,Aveer,258.0,8932
PROD0000107,Suraj Speakers,Electronics,Speakers,Araku,23239.0,6922
PROD0000108,Araku Iron,Appliances,Iron,Tanish,1380.0,8122
PROD0000109,BharatTech Smartphones,Mobiles & Accessories,Smartphones,Meraki,23192.0,268
PROD0000110,Aveer Kids Wear,Fashion,Kids Wear,Nirvi,1374.0,1147
PROD0000111,Kaya Dining,Home & Kitchen,Dining,Tanish,726.0,9842
PROD0000112,Prisma Chargers,Mobiles & Accessories,Chargers,Amara,16067.0,369
PROD0000113,Indus Chargers,Mobiles & Accessories,Chargers,Suraj,24293.0,41
PROD0000114,BharatTech Bags,Fashion,Bags,Bluewood,794.0,239
PROD0000115,Zivame Smartphones,Mobiles & Accessories,Smartphones,Trisha,11003.0,81
PROD0000116,Vayu Toys,Toys & Baby,Toys,Tanish,768.0,3286
PROD0000117,Kaya Footwear,Fashion,Footwear,Zivame,1425.0,1288
PROD0000118,Aveer Dining,Home & Kitchen,Dining,Meraki,2647.0,10940
PROD0000119,Yugen Fitness Equipment,Sports & Fitness,Fitness Equipment,Tanish,3211.0,5466
PROD0000120,Kanha Storage,Home & Kitchen,Storage,Kaya,2184.0,2587
PROD0000121,Yugen Footwear,Fashion,Footwear,Zenda,1408.0,393
PROD0000122,Amara Toys,Toys & Baby,Toys,Prisma,473.0,2961
PROD0000123,BharatTech Tablets,Electronics,Tablets,Ovi,35804.0,4836
PROD0000124,Kanha Monitors,Electronics,Monitors,Yugen,33102.0,941
PROD0000125,Tanish Storage,Home & Kitchen,Storage,Kanha,791.0,4435
PROD0000126,Bluewood Men Topwear,Fashion,Men Topwear,Nova,1248.0,1490
PROD0000127,Nirvi Academic,Books,Academic,Kaya,212.0,219
PROD0000128,Kanha Cases & Covers,Mobiles & Accessories,Cases & Covers,Sattva,24409.0,210
PROD0000129,Vayu Makeup,Beauty & Personal Care,Makeup,Yugen,810.0,715
PROD0000130,Kanha Microwave,Appliances,Microwave,Zivame,4503.0,3221
PROD0000131,Nova Cycling,Sports & Fitness,Cycling,Amara,1829.0,1637
PROD0000132,Amara Earphones,Mobiles & Accessories,Earphones,Meraki,26224.0,175
PROD0000133,Ovi Tablets,Electronics,Tablets,Zenda,42135.0,6316
PROD0000134,Prisma Diapers,Toys & Baby,Diapers,Indus,926.0,1882
PROD0000135,Bluewood Fragrance,Beauty & Personal Care,Fragrance,Amara,1024.0,177
PROD0000136,Suraj Power Banks,Mobiles & Accessories,Power Banks,BharatTech,21772.0,68
PROD0000137,Yugen Smartphones,Mobiles & Accessories,Smartphones,Nova,16148.0,256
PROD0000138,Aveer Regional,Books,Regional,Nirvi,626.0,639
PROD0000139,Araku Decor,Home & Kitchen,Decor,Aveer,2547.0,4864
PROD0000140,Indus Dining,Home & Kitchen,Dining,Sattva,1555.0,5218
PROD0000141,Nova Staples,Grocery,Staples,Prisma,204.0,4664
PROD0000142,Vayu Tablets,Electronics,Tablets,Kanha,17590.0,3755
PROD0000143,Amara Tablets,Electronics,Tablets,Zenda,24097.0,735
PROD0000144,Vayu Makeup,Beauty & Personal Care,Makeup,Orion,569.0,696
PROD0000145,Nirvi Personal Hygiene,Grocery,Personal Hygiene,Rasa,222.0,4633
PROD0000146,Indus Smart Watches,Electronics,Smart Watches,Nirvi,45698.0,3038
PROD0000147,Sattva Makeup,Beauty & Personal Care,Makeup,Vira,540.0,664
PROD0000148,Nirvi Smartphones,Mobiles & Accessories,Smartphones,Trisha,22205.0,365
PROD0000149,Indus Laptops,Electronics,Laptops,Zivame,15605.0,1743
PROD0000150,Tanish Toys,Toys & Baby,Toys,Sattva,721.0,3204
PROD0000151,Sattva Cases & Covers,Mobiles & Accessories,Cases & Covers,Sattva,9173.0,108
PROD0000152,Vayu Chargers,Mobiles & Accessories,Chargers,Orion,16728.0,31
PROD0000153,Nirvi Fiction,Books,Fiction,Trisha,909.0,381
PROD0000154,BharatTech Men Topwear,Fashion,Men Topwear,Indus,891.0,1321
PROD0000155,Vira Women Ethnic,Fashion,Women Ethnic,Kanha,471.0,743
PROD0000156,Nova Non-Fiction,Books,Non-Fiction,Prisma,248.0,635
PROD0000157,Yugen Laptops,Electronics,Laptops,Nirvi,31511.0,7894
PROD0000158,Bluewood Grooming,Beauty & Personal Care,Grooming,Vayu,1002.0,168
PROD0000159,Trisha Footwear,Fashion,Footwear,Zenda,862.0,1200
PROD0000160,Suraj Chargers,Mobiles & Accessories,Chargers,Kaya,17695.0,113
PROD0000161,Kanha Skincare,Beauty & Personal Care,Skincare,Prisma,1013.0,246
PROD0000162,Kaya Kids Wear,Fashion,Kids Wear,Kanha,990.0,1039
PROD0000163,Kanha Household,Grocery,Household,Meraki,268.0,901
PROD0000164,Indus School Supplies,Toys & Baby,School Supplies,Bluewood,498.0,4781
PROD0000165,Zivame Snacks,Grocery,Snacks,Indus,476.0,895
PROD0000166,Rasa Kids Wear,Fashion,Kids Wear,Sattva,320.0,1183
PROD0000167,Vayu Smart Watches,Electronics,Smart Watches,Nirvi,20387.0,7290
PROD0000168,Prisma Toys,Toys & Baby,Toys,BharatTech,1459.0,127
PROD0000169,Trisha Men Topwear,Fashion,Men Topwear,Zenda,987.0,125
PROD0000170,Bluewood Iron,Appliances,Iron,Rasa,3171.0,14022
PROD0000171,Aveer Snacks,Grocery,Snacks,Nirvi,229.0,4924
PROD0000172,Orion Women Ethnic,Fashion,Women Ethnic,Bluewood,852.0,217
PROD0000173,Yugen Power Banks,Mobiles & Accessories,Power Banks,Zenda,7219.0,98
PROD0000174,BharatTech Skincare,Beauty & Personal Care,Skincare,Vira,1417.0,394
PROD0000175,Amara Furnishing,Home & Kitchen,Furnishing,Kanha,1192.0,5673
PROD0000176,Zivame Men Topwear,Fashion,Men Topwear,Vira,441.0,1368
PROD0000177,Tanish Decor, Home & Kitchen ,Decor,Vayu,1582.0,10755
PROD0000178,Nirvi Fiction,Books,Fiction,Zivame,505.0,1099
PROD0000179,Aveer Men Topwear,Fashion,Men Topwear,Suraj,749.0,1194
PROD0000180,Yugen Tablets,Electronics,Tablets,Tanish,25756.0,982
PROD0000181,Ovi Microwave,Appliances,Microwave,Sattva,3571.0,13047
PROD0000182,Ovi Fiction,Books,Fiction,Tanish,387.0,764
PROD0000183,Amara Fitness Equipment,Sports & Fitness,Fitness Equipment,Indus,3256.0,6955
PROD0000184,Tanish Smartphones,Mobiles & Accessories,Smartphones,Amara,19473.0,202
PROD0000185,Sattva Personal Hygiene,Grocery,Personal Hygiene,Nirvi,255.0,7516
PROD0000186,Zivame Regional,Books,Regional,Tanish,327.0,1191
PROD0000187,Nirvi Fan,Appliances,Fan,Kaya,4012.0,20789
PROD0000188,Orion Footwear,Fashion,Footwear,Orion,757.0,962
PROD0000189,Orion Smartphones,Mobiles & Accessories,Smartphones,BharatTech,7547.0,69
PROD0000190,Bluewood Dining,Home & Kitchen,Dining,Trisha,1281.0,7886
PROD0000191,Orion Kids Wear,Fashion,Kids Wear,Bluewood,2599.0,537
PROD0000192,Bluewood Women Ethnic,Fashion,Women Ethnic,Sattva,1015.0,690
PROD0000193,Kaya Baby Care,Toys & Baby,Baby Care,Kaya,782.0,1801
PROD0000194,Indus Power Banks,Mobiles & Accessories,Power Banks,Sattva,11854.0,163
PROD0000195,Orion Baby Care,Toys & Baby,Baby Care,Zivame,989.0,358
PROD0000196,Zenda Decor,Home & Kitchen,Decor,Zivame,1753.0,10777
PROD0000197,Amara Beverages,Grocery,Beverages,BharatTech,409.0,8396
PROD0000198,Vira Bags,Fashion,Bags,Sattva,1589.0,650
PROD0000199,Kaya Grooming,Beauty & Personal Care,Grooming,Amara,668.0,758
PROD0000200,Nirvi Storage,Home & Kitchen,Storage,Amara,1440.0,4336
PROD0000201,Orion Baby Care,Toys & Baby,Baby Care,Meraki,1524.0,1082
PROD0000202,Kanha Laptops,Electronics,Laptops,Suraj,24094.0,4642
PROD0000203,Aveer Tablets,Electronics,Tablets,Tanish,14908.0,205
PROD0000204,Nova Cricket,Sports & Fitness,Cricket,Trisha,1450.0,5190
PROD0000205,Ovi Earphones,Mobiles & Accessories,Earphones,Suraj,15331.0,74
PROD0000206,Zenda Grooming,Beauty & Personal Care,Grooming,Prisma,565.0,639
PROD0000207,Suraj Smartphones,Mobiles & Accessories,Smartphones,Nirvi,10035.0,281
PROD0000208,Kanha Cases & Covers,MOBILES & ACCESSORIES,Cases & Covers,Tanish,15696.0,204
PROD0000209,Orion Storage,Home & Kitchen,Storage,Rasa,1079.0,6393
PROD0000210,Suraj Furnishing,Home & Kitchen,Furnishing,Nirvi,426.0,1455
PROD0000211,Trisha Furnishing,Home & Kitchen,Furnishing,Aveer,1736.0,3466
PROD0000212,Indus Dining,Home & Kitchen,Dining,Nova,1058.0,7091
PROD0000213,Tanish Mixer Grinder,Appliances,Mixer Grinder,Yugen,6765.0,18842
PROD0000214,Zenda Yoga,Sports & Fitness,Yoga,Kanha,1986.0,3176
PROD0000215,Vira Footwear,Fashion,Footwear,Araku,843.0,708
PROD0000216,Vayu Watches,Fashion,Watches,Nirvi,321.0,980
PROD0000217,Vira Kids Wear,Fashion,Kids Wear,Rasa,1301.0,1161
PROD0000218,Indus Academic,Books,Academic,Suraj,966.0,665
PROD0000219,Aveer Bags,Fashion,Bags,Zivame,626.0,637
PROD0000220,Meraki Makeup,Beauty & Personal Care,Makeup,Vayu,155.0,779
PROD0000221,Trisha Bags,Fashion,Bags,Trisha,747.0,1267
PROD0000222,Nirvi Makeup,Beauty & Personal Care,Makeup,Vayu,247.0,284
PROD0000223,Orion Staples,Grocery,Staples,BharatTech,268.0,4144
PROD0000224,Ovi Storage,Home & Kitchen,Storage,Araku,1993.0,2229
PROD0000225,Vira Cookware,Home & Kitchen,Cookware,Vira,1693.0,11532
PROD0000226,Orion Cameras,Electronics,Cameras,BharatTech,19927.0,3743
PROD0000227,Zivame Storage,Home & Kitchen,Storage,Rasa,1073.0,3404
PROD0000228,Tanish Laptops,Electronics,Laptops,Nirvi,24907.0,1374
PROD0000229,Kanha Snacks,Grocery,Snacks,Nova,553.0,5756
PROD0000230,Araku Footwear,Fashion,Footwear,Ovi,504.0,226
PROD0000231,Araku Power Banks,Mobiles & Accessories,Power Banks,Yugen,15558.0,57
PROD0000232,BharatTech Monitors,Electronics,Monitors,Meraki,21736.0,6020
PROD0000233,Vayu Furnishing,Home & Kitchen,Furnishing,Rasa,2280.0,2105
PROD0000234,Aveer Baby Care,Toys & Baby,Baby Care,Kaya,1510.0,409
PROD0000235,Amara Men Topwear,Fashion,Men Topwear,Vayu,936.0,1231
PROD0000236,BharatTech Laptops,Electronics,Laptops,Meraki,54623.0,715
PROD0000237,Amara Kids Wear,Fashion,Kids Wear,BharatTech,1615.0,1047
PROD0000238,Kaya Cycling,Sports & Fitness,Cycling,Sattva,1768.0,5679
PROD0000239,Trisha Snacks,Grocery,Snacks,Prisma,180.0,8145
PROD0000240,Sattva Smartphones,Mobiles & Accessories,Smartphones,Rasa,9553.0,46
PROD0000241,Suraj Makeup,Beauty & Personal Care,Makeup,Zenda,482.0,732
PROD0000242,Zenda Non-Fiction,Books,Non-Fiction,Amara,272.0,1052
PROD0000243,Nirvi Non-Fiction,Books,Non-Fiction,Kanha,691.0,303
PROD0000244,Ovi Storage,Home & Kitchen,Storage,Sattva,1454.0,9412
PROD0000245,Rasa Iron,Appliances,Iron,Nirvi,5991.0,18217
PROD0000246,Vira Storage,Home & Kitchen,Storage,Kaya,1421.0,1262
PROD0000247,Nova Cameras,Electronics,Cameras,Sattva,40082.0,7235
PROD0000248,Vayu Earphones,Mobiles & Accessories,Earphones,Meraki,20499.0,211
PROD0000249,Zenda Kids Wear,Fashion,Kids Wear,Aveer,1502.0,815
PROD0000250,Prisma Cases & Covers,Mobiles & Accessories,Cases & Covers,Prisma,9852.0,249
PROD0000251,Orion Kids Wear,Fashion,Kids Wear,Vayu,2151.0,625
PROD0000252,Ovi Beverages,Grocery,Beverages,Rasa,160.0,3257
PROD0000253,Vira Snacks,Grocery,Snacks,Zenda,354.0,1669
PROD0000254,Vayu Chargers,Mobiles & Accessories,Chargers,Rasa,52793.0,94
PROD0000255,Amara Cases & Covers,Mobiles & Accessories,Cases & Covers,Ovi,14123.0,150
PROD0000256,Vira Grooming,Beauty & Personal Care,Grooming,Ovi,327.0,768
PROD0000257,Trisha Storage,Home & Kitchen,Storage,Vayu,1204.0,4030
PROD0000258,Bluewood Power Banks,Mobiles & Accessories,Power Banks,Sattva,7876.0,255
PROD0000259,Orion Non-Fiction,Books,Non-Fiction,Vira,430.0,466
PROD0000260,BharatTech Tablets,Electronics,Tablets,Sattva,26976.0,1964
PROD0000261,Rasa Smartphones,Mobiles & Accessories,Smartphones,Kaya,8729.0,204
PROD0000262,BharatTech Iron,Appliances,Iron,BharatTech,2317.0,13693
PROD0000263,Trisha Makeup,Beauty & Personal Care,Makeup,Aveer,937.0,500
PROD0000264,Ovi Footwear,Fashion,Footwear,Kanha,2325.0,619
PROD0000265,Suraj Fan,Appliances,Fan,Sattva,3388.0,21641
PROD0000266,Orion School Supplies,Toys & Baby,School Supplies,Bluewood,962.0,2994
PROD0000267,Vayu Smartphones,Mobiles & Accessories,Smartphones,Indus,28195.0,73
PROD0000268,Tanish Fragrance,Beauty & Personal Care,Fragrance,Rasa,291.0,165
PROD0000269,Zenda Tablets,Electronics,Tablets,BharatTech,15115.0,2214
PROD0000270,Orion Dining,Home & Kitchen,Dining,Aveer,3279.0,2545
PROD0000271,Rasa Women Ethnic,Fashion,Women Ethnic,Zenda,292.0,604
PROD0000272,Trisha Women Ethnic,Fashion,Women Ethnic,Meraki,466.0,1424
PROD0000273,Kanha Laptops,Electronics,Laptops,Nova,14618.0,7104
PROD0000274,Indus Fiction,Books,Fiction,Sattva,346.0,416
PROD0000275,Ovi Footwear,Fashion,Footwear,Aveer,333.0,137
PROD0000276,Zivame Beverages,Grocery,Beverages,Meraki,373.0,9218
PROD0000277,Amara Footwear,Fashion,Footwear,Orion,1273.0,988
PROD0000278,Aveer Snacks,Grocery,Snacks,Vira,186.0,5506
PROD0000279,Trisha Furnishing,Home & Kitchen,Furnishing,Nova,877.0,8396
PROD0000280,Kanha Women Ethnic,Fashion,Women Ethnic,Nirvi,614.0,1485
PROD0000281,Aveer Iron,Appliances,Iron,Trisha,2734.0,24591
PROD0000282,Orion Regional,Books,Regional,Vayu,742.0,951
PROD0000283,Indus Decor,Home & Kitchen,Decor,Rasa,1088.0,10150
PROD0000284,Tanish Kids Wear,Fashion,Kids Wear,Kanha,687.0,861
PROD0000285,Vayu Furnishing,Home & Kitchen,Furnishing,Prisma,658.0,2503
PROD0000286,Orion Cookware,Home & Kitchen,Cookware,Orion,1937.0,5109
PROD0000287,Suraj Watches,Fashion,Watches,Amara,798.0,995
PROD0000288,Vira Fiction,Books,Fiction,BharatTech,409.0,674
PROD0000289,Indus Women Ethnic,Fashion,Women Ethnic,Nirvi,1110.0,938
PROD0000290,Nirvi Watches,Fashion,Watches,Yugen,397.0,808
PROD0000291,BharatTech Haircare,Beauty & Personal Care,Haircare,Kaya,455.0,250
PROD0000292,Kanha Footwear,Sports & Fitness,Footwear,BharatTech,1063.0,6358
PROD0000293,Trisha Monitors,Electronics,Monitors,Araku,68105.0,7227
PROD0000294,Nova Monitors,Electronics,Monitors,Kaya,13197.0,903
PROD0000295,Vira Laptops,Electronics,Laptops,Nova,24485.0,1003
PROD0000296,Kaya Haircare,Beauty & Personal Care,Haircare,Kaya,465.0,146
PROD0000297,Sattva Bags,Fashion,Bags,Araku,450.0,982
PROD0000298,Tanish Watches,Fashion,Watches,Trisha,900.0,1365
PROD0000299,Nirvi Tablets,Electronics,Tablets,Meraki,28050.0,6850
PROD0000300,Orion School Supplies,Toys & Baby,School Supplies,Bluewood,592.0,4113
PROD0000301,Kaya Kids Wear,Fashion,Kids Wear,Tanish,1738.0,1099
PROD0000302,Orion Fragrance,Beauty & Personal Care,Fragrance,Bluewood,1162.0,656
PROD0000303,Vira Chargers,Mobiles & Accessories,Chargers,Yugen,11977.0,175
PROD0000304,Kaya Earphones,Mobiles & Accessories,Earphones,Nirvi,7085.0,103
PROD0000305,Araku Power Banks,Mobiles & Accessories,Power Banks,Orion,23987.0,373
PROD0000306,Zenda Kids Wear,Fashion,Kids Wear,Amara,887.0,1290
PROD0000307,Trisha Storage,Home & Kitchen,Storage,Nova,943.0,5846
PROD0000308,Trisha Monitors,Electronics,Monitors,Sattva,19380.0,7825
PROD0000309,Araku Footwear,Fashion,Footwear,Kaya,582.0,875
PROD0000310,Indus Power Banks,Mobiles & Accessories,Power Banks,Meraki,11934.0,328
PROD0000311,Bluewood Footwear,Fashion,Footwear,Vayu,276.0,1183
PROD0000312,Zivame Chargers,Mobiles & Accessories,Chargers,Orion,21485.0,145
PROD0000313,Yugen Smartphones,Mobiles & Accessories,Smartphones,Nova,25092.0,117
PROD0000314,Prisma Chargers,Mobiles & Accessories,Chargers,Nova,17443.0,79
PROD0000315,Ovi Fan,Appliances,Fan,Nirvi,1387.0,20465
PROD0000316,Zenda School Supplies,Toys & Baby,School Supplies,Zenda,318.0,4707
PROD0000317,Prisma Haircare,Beauty & Personal Care,Haircare,Zivame,429.0,285
PROD0000318,Vira Earphones,Mobiles & Accessories,Earphones,Nirvi,56021.0,303
PROD0000319,Kaya Fitness Equipment,Sports & Fitness,Fitness Equipment,Yugen,1385.0,13269
PROD0000320,Suraj Fitness Equipment,Sports & Fitness,Fitness Equipment,Amara,781.0,7449
PROD0000321,BharatTech Women Ethnic,Fashion,Women Ethnic,Zenda,1518.0,1326
PROD0000322,Suraj Power Banks,Mobiles & Accessories,Power Banks,Indus,5809.0,370
PROD0000323,Indus Water Purifier,Appliances,Water Purifier,Araku,3295.0,9025
PROD0000324,Prisma Yoga,Sports & Fitness,Yoga,Aveer,1967.0,6321
PROD0000325,Meraki Non-Fiction,Books,Non-Fiction,Tanish,331.0,360
PROD0000326,Tanish Skincare,BEAUTY & PERSONAL CARE,Skincare,Prisma,768.0,576
PROD0000327,Sattva Skincare,Beauty & Personal Care,Skincare,Indus,667.0,250
PROD0000328,Nirvi Cycling,Sports & Fitness,Cycling,Sattva,2278.0,5930
PROD0000329,Aveer Power Banks,Mobiles & Accessories,Power Banks,Vira,9565.0,131
PROD0000330,Kaya Cases & Covers,Mobiles & Accessories,Cases & Covers,Vira,13029.0,267
PROD0000331,Amara Household,Grocery,Household,Zenda,626.0,1641
PROD0000332,Nirvi Chargers,Mobiles & Accessories,Chargers,Indus,52020.0,117
PROD0000333,Ovi Bags,Fashion,Bags,Kaya,600.0,396
PROD0000334,Suraj Kids Wear,Fashion,Kids Wear,Zivame,478.0,1304
PROD0000335,Zivame Cameras,Electronics,Cameras,Kanha,13253.0,3987
