return_id,order_id,order_item_id,product_id,return_reason,return_status,return_qty,refund_amount_inr,return_requested_ts,return_completed_ts
RET00000058,ORD000001173,3,PROD0000198,Changed my mind,completed,1,1271.0,2023-10-19 12:57:11,2023-10-25 12:57:11
RET00000059,ORD000001190,1,PROD0000214,Item arrived late,rejected,2,2780.0,2023-06-28 13:44:20,2023-07-03 13:44:20
RET00000060,ORD000001201,1,PROD0000002,Wrong item delivered,completed,1,8262.0,2023-03-05 10:33:09,2023-03-07 10:33:09
RET00000061,ORD000001240,1,PROD0000514,Item arrived late,requested,3,6114.0,2023-11-03 01:44:36,2023-11-15 01:44:36
RET00000062,ORD000001320,1,PROD0000219,Item arrived late,rejected,2,752.0,2023-11-02 19:05:44,2023-11-12 19:05:44
RET00000063,ORD000001320,2,PROD0000039,Changed my mind,completed,2,4552.0,2023-11-07 19:05:44,2023-11-17 19:05:44
RET00000064,ORD000001320,3,PROD0000501,Wrong item delivered,completed,1,343.0,2023-11-05 19:05:44,2023-11-14 19:05:44
RET00000065,ORD000001320,4,PROD0000142,Changed my mind,completed,1,17590.0,2023-10-31 19:05:44,2023-11-10 19:05:44
RET00000066,ORD000001345,1,PROD0000365,Changed my mind,completed,1,1160.0,2024-06-09 15:02:00,2024-06-20 15:02:00
RET00000067,ORD000001348,1,PROD0000465,Changed my mind,completed,3,31605.0,2024-06-22 20:36:48,2024-06-25 20:36:48
RET00000068,ORD000001350,1,PROD0000099,Wrong item delivered,completed,3,4182.0,2024-08-12 06:24:15,2024-08-20 06:24:15
RET00000069,ORD000001384,1,PROD0000005,Defective/not working,rejected,2,24832.0,2024-04-02 11:36:20,2024-04-14 11:36:20
RET00000070,ORD000001420,1,PROD0000344,Defective/not working,completed,1,530.0,2023-09-13 21:43:36,2023-09-20 21:43:36
RET00000071,ORD000001428,1,PROD0000190,Size/fit issue,approved,2,2050.0,2024-10-03 16:57:12,2024-10-12 16:57:12
RET00000072,ORD000001432,1,PROD0000462,Defective/not working,completed,1,22400.0,2024-12-13 02:30:46,2024-12-20 02:30:46
RET00000073,ORD000001449,1,PROD0000071,Damaged product,completed,1,26736.0,2024-10-04 22:20:38,2024-10-17 22:20:38
RET00000074,ORD000001449,3,PROD0000502,Item arrived late,completed,1,443.0,2024-09-29 22:20:38,2024-10-11 22:20:38
RET00000075,ORD000001588,1,PROD0000419,Wrong item delivered,approved,2,1022.0,2023-06-05 16:59:19,2023-06-17 16:59:19
RET00000076,ORD000001606,1,PROD0000417,Changed my mind,completed,1,16380.0,2023-11-15 09:15:40,2023-11-22 09:15:40
RET00000077,ORD000001635,2,PROD0000384,Defective/not working,completed,2,868.0,2024-10-27 03:56:18,2024-11-10 03:56:18
RET00000078,ORD000001711,1,PROD0000209,Better price available,approved,3,2751.0,2024-08-01 00:39:18,2024-08-09 00:39:18
RET00000079,ORD000001711,2,PROD0000433,Wrong item delivered,completed,2,798.0,2024-08-02 00:39:18,2024-08-13 00:39:18
RET00000080,ORD000001731,1,PROD0000182,Better price available,approved,2,658.0,2023-08-18 23:54:10,2023-08-23 23:54:10
RET00000081,ORD000001734,1,PROD0000140,Damaged product,completed,2,3110.0,2024-06-23 16:17:23,2024-06-27 16:17:23
RET00000082,ORD000001742,1,PROD0000439,Size/fit issue,completed,1,18391.0,2023-03-25 19:55:40,2023-03-27 19:55:40
RET00000083,ORD000001752,1,PROD0000445,Size/fit issue,completed,1,1122.0,2024-11-18 21:53:06,2024-11-23 21:53:06
RET00000084,ORD000001952,1,PROD0000516,Size/fit issue,completed,1,7993.0,2023-09-04 13:59:27,2023-09-08 13:59:27
RET00000085,ORD000001965,2,PROD0000321,Item arrived late,rejected,1,1366.0,2023-05-15 22:46:33,2023-05-29 22:46:33
RET00000086,ORD000002001,1,PROD0000412,Size/fit issue,rejected,3,5775.0,2023-10-06 08:40:32,2023-10-18 08:40:32
RET00000087,ORD000002022,1,PROD0000275,Defective/not working,completed,1,300.0,2023-06-13 11:59:52,2023-06-27 11:59:52
RET00000088,ORD000002081,1,PROD0000503,Changed my mind,completed,1,8833.0,2023-05-08 09:59:22,2023-05-21 09:59:22
RET00000089,ORD000002113,1,PROD0000411,Quality not as expected,approved,3,1176.0,2023-10-15 18:44:40,2023-10-24 18:44:40
RET00000090,ORD000002133,1,PROD0000450,Damaged product,completed,2,6434.0,2023-05-25 03:40:45,2023-06-05 03:40:45
RET00000091,ORD000002133,2,PROD0000099,Size/fit issue,completed,2,2788.0,2023-05-26 03:40:45,2023-05-30 03:40:45
RET00000092,ORD000002133,4,PROD0000075,Quality not as expected,completed,2,1148.0,2023-05-25 03:40:45,2023-06-01 03:40:45
RET00000093,ORD000002133,5,PROD0000416,Defective/not working,rejected,2,20064.0,2023-05-24 03:40:45,2023-06-05 03:40:45
RET00000094,ORD000002179,1,PROD0000146,Defective/not working,requested,2,91396.0,2025-01-01 04:37:53,2025-01-11 04:37:53
RET00000095,ORD000002179,2,PROD0000188,Changed my mind,completed,1,606.0,2025-01-01 04:37:53,2025-01-15 04:37:53
RET00000096,ORD000002206,1,PROD0000281,Quality not as expected,rejected,1,2461.0,2025-01-05 16:02:12,2025-01-08 16:02:12
RET00000097,ORD000002206,2,PROD0000193,Size/fit issue,completed,1,704.0,2024-12-27 16:02:12,2025-01-04 16:02:12
RET00000098,ORD000002206,3,PROD0000469,Better price available,completed,2,644.0,2024-12-26 16:02:12,2024-12-29 16:02:12
RET00000099,ORD000002217,1,PROD0000084,Wrong item delivered,approved,2,2008.0,2024-11-26 07:07:32,2024-11-30 07:07:32
RET00000100,ORD000002226,1,PROD0000070,Defective/not working,completed,1,492.0,2024-09-29 10:29:19,2024-10-03 10:29:19
RET00000101,ORD000002303,1,PROD0000468,Better price available,approved,1,11164.0,2024-08-06 05:27:56,2024-08-17 05:27:56
RET00000102,ORD000002304,1,PROD0000029,Item arrived late,completed,3,1095.0,2024-07-01 23:19:41,2024-07-10 23:19:41
RET00000103,ORD000002347,1,PROD0000066,Better price available,approved,1,6769.0,2024-02-21 22:54:00,2024-02-29 22:54:00
RET00000104,ORD000002393,1,PROD0000313,Better price available,approved,2,50184.0,2024-02-06 20:32:27,2024-02-13 20:32:27
RET00000105,ORD000002393,2,PROD0000014,Wrong item delivered,requested,1,91.0,2024-02-02 20:32:27,2024-02-14 20:32:27
RET00000106,ORD000002405,1,PROD0000447,Defective/not working,completed,2,626.0,2023-01-21 00:43:43,2023-01-25 00:43:43
RET00000107,ORD000002405,2,PROD0000074,Quality not as expected,completed,1,13132.0,2023-01-23 00:43:43,2023-01-29 00:43:43
RET00000108,ORD000002479,1,PROD0000519,Quality not as expected,completed,3,44751.0,2023-06-25 06:39:24,2023-07-04 06:39:24
RET00000109,ORD000002487,2,PROD0000502,Better price available,completed,1,280.0,2024-04-07 23:58:47,2024-04-14 23:58:47
RET00000110,ORD000002487,3,PROD0000458,Item arrived late,completed,1,22886.0,2024-04-08 23:58:47,2024-04-21 23:58:47
RET00000111,ORD000002487,4,PROD0000162,Changed my mind,rejected,3,2673.0,2024-04-10 23:58:47,2024-04-17 23:58:47
RET00000112,ORD000002487,6,PROD0000420,Damaged product,completed,1,1237.0,2024-04-10 23:58:47,2024-04-19 23:58:47
RET00000113,ORD000002488,1,PROD0000494,Wrong item delivered,completed,2,436.0,2023-10-28 20:04:23,2023-11-06 20:04:23
RET00000114,ORD000002488,3,PROD0000286,Damaged product,approved,2,3874.0,2023-10-30 20:04:23,2023-11-07 20:04:23
RET00000115,ORD000002489,1,PROD0000179,Item arrived late,requested,2,1498.0,2023-04-14 08:37:11,2023-04-18 08:37:11
RET00000116,ORD000002557,1,PROD0000291,Item arrived late,completed,1,273.0,2023-11-17 22:37:52,2023-11-23 22:37:52
RET00000117,ORD000002623,3,PROD0000059,Changed my mind,completed,2,618.0,2025-01-06 04:55:48,2025-01-20 04:55:48
RET00000118,ORD000002623,4,PROD0000378,Damaged product,completed,3,165.0,2025-01-09 04:55:48,2025-01-11 04:55:48
RET00000119,ORD000002671,1,PROD0000162,Defective/not working,rejected,3,2673.0,2023-10-21 07:30:51,2023-11-02 07:30:51
RET00000120,ORD000002781,1,PROD0000455,Item arrived late,completed,1,11496.0,2024-12-26 02:50:46,2024-12-31 02:50:46
RET00000121,ORD000002803,1,PROD0000402,Changed my mind,rejected,1,948.0,2024-06-07 08:10:33,2024-06-16 08:10:33
RET00000122,ORD000002803,2,PROD0000249,Damaged product,completed,1,1051.0,2024-06-02 08:10:33,2024-06-08 08:10:33
RET00000123,ORD000002861,1,PROD0000231,Damaged product,rejected,2,24892.0,2024-02-10 14:22:37,2024-02-14 14:22:37
RET00000124,ORD000002861,2,PROD0000395,Changed my mind,completed,1,187.0,2024-02-03 14:22:37,2024-02-10 14:22:37
RET00000125,ORD000002900,1,PROD0000201,Changed my mind,completed,2,1828.0,2023-09-26 13:42:03,2023-10-03 13:42:03
RET00000126,ORD000002900,2,PROD0000354,Wrong item delivered,requested,2,13312.0,2023-09-29 13:42:03,2023-10-12 13:42:03
RET00000127,ORD000002900,3,PROD0000227,Wrong item delivered,rejected,1,1073.0,2023-09-25 13:42:03,2023-09-29 13:42:03
RET00000128,ORD000002903,1,PROD0000147,Better price available,completed,1,432.0,2024-06-13 20:41:58,2024-06-18 20:41:58
RET00000129,ORD000002910,1,PROD0000334,Size/fit issue,requested,3,1434.0,2024-03-05 19:56:04,2024-03-17 19:56:04
RET00000130,ORD000002935,1,PROD0000186,Defective/not working,completed,1,278.0,2024-02-19 18:08:35,2024-02-25 18:08:35
RET00000131,ORD000002935,2,PROD0000055,Damaged product,completed,2,30520.0,2024-02-23 18:08:35,2024-02-25 18:08:35
RET00000132,ORD000002947,2,PROD0000026,Item arrived late,completed,2,170.0,2023-11-03 07:14:26,2023-11-09 07:14:26
RET00000133,ORD000002947,3,PROD0000340,Item arrived late,rejected,1,346.0,2023-11-04 07:14:26,2023-11-11 07:14:26
RET00000134,ORD000002957,1,PROD0000181,Size/fit issue,completed,2,5714.0,2024-06-12 21:58:38,2024-06-16 21:58:38
RET00000135,ORD000002957,3,PROD0000345,Better price available,requested,2,42660.0,2024-06-18 21:58:38,2024-06-22 21:58:38
RET00000136,ORD000002959,1,PROD0000137,Changed my mind,requested,2,25836.0,2024-09-04 18:15:36,2024-09-11 18:15:36
