order_id,payment_sequential,payment_type,payment_installments,payment_value_inr,payment_status
ORD000000054,1,COD,1,48617.0,paid
ORD000000055,1,Wallet,1,35707.0,paid
ORD000000056,1,Credit Card,3,28304.0,failed
ORD000000057,1,Debit Card,1,18691.0,paid
ORD000000058,1,Credit Card,1,1213.0,refunded
ORD000000059,1,UPI,1,1656.0,captured
ORD000000060,1,COD,1,39820.0,refunded
ORD000000061,1,UPI,1,15317.0,paid
ORD000000062,1,COD,1,13865.0,paid
ORD000000063,1,COD,1,1415.0,paid
ORD000000064,1,COD,1,28449.0,paid
ORD000000065,1,UPI,1,61876.0,paid
ORD000000066,1,COD,1,1342.0,paid
ORD000000067,1,UPI,1,2575.0,paid
ORD000000068,1,COD,1,2408.0,paid
ORD000000069,1,COD,1,15644.0,paid
ORD000000070,1,COD,1,2318.0,paid
ORD000000071,1,Debit Card,1,37153.0,paid
ORD000000072,1,COD,1,466.0,paid
ORD000000073,1,Debit Card,1,5950.0,paid
ORD000000074,1,COD,1,2451.0,paid
ORD000000075,1,COD,1,47183.0,paid
ORD000000076,1,COD,1,43001.0,success
ORD000000077,1,COD,1,1116.0,paid
ORD000000078,1,COD,1,1960.0,paid
ORD000000079,1,COD,1,57354.0,paid
ORD000000080,1,UPI,1,1743.0,paid
ORD000000081,1,UPI,1,3269.0,paid
ORD000000082,1,COD,1,3306.0,paid
ORD000000083,1,Debit Card,1,8164.0,paid
ORD000000084,1,UPI,1,2077.0,paid
ORD000000085,1,COD,1,3221.0,paid
ORD000000086,1,COD,1,,paid
ORD000000087,1,COD,1,49034.0,paid
ORD000000088,1,Credit Card,9,25899.0,paid
ORD000000089,1,COD,1,4243.0,paid
ORD000000090,1,COD,1,1280.0,paid
ORD000000091,1,COD,1,502.0,paid
ORD000000092,1,COD,1,783.0,paid
ORD000000093,1,COD,1,221.0,paid
ORD000000094,1,UPI,1,14868.0,paid
ORD000000095,1,Wallet,1,14597.0,failed
ORD000000096,1,COD,1,30326.0,paid
ORD000000097,1,COD,1,12351.0,paid
ORD000000098,1,COD,1,58600.0,paid
ORD000000099,1,COD,1,648.0,paid
ORD000000100,1,UPI,1,4721.0,paid
ORD000000101,1,Wallet,1,26296.0,paid
ORD000000102,1,UPI,1,30572.0,paid
ORD000000103,1,COD,1,39685.0,paid
ORD000000104,1,Debit Card,1,1273.0,paid
ORD000000105,1,Credit Card,1,2195.0,paid
ORD000000106,1,COD,1,1991.0,paid
ORD000000107,1,Wallet,1,10903.0,failed
ORD000000108,1,UPI,1,57491.0,paid
ORD000000109,1,Credit Card,3,26646.0,paid
ORD000000110,1,COD,1,47712.0,failed
ORD000000111,1,COD,1,3501.0,paid
ORD000000112,1,Credit Card,1,88677.0,paid
ORD000000113,1,COD,1,44831.0,paid
ORD000000114,1,Wallet,1,3020.0,paid
ORD000000115,1,COD,1,236.0,paid
ORD000000116,1,COD,1,16246.0,failed
ORD000000117,1,UPI,1,488.0,paid
ORD000000118,1,UPI,1,4348.0,paid
ORD000000119,1,COD,1,3847.0,paid
ORD000000120,1,UPI,1,158.0,paid
ORD000000121,1,UPI,1,7928.0,paid
ORD000000122,1,UPI,1,53163.0,paid
ORD000000123,1,COD,1,19333.0,paid
ORD000000124,1,UPI,1,793.0,paid
ORD000000125,1,COD,1,24056.0,PAID
ORD000000126,1,Credit Card,1,1514.0,paid
ORD000000127,1,UPI,1,1351.0,success
ORD000000128,1,COD,1,41871.0,paid
ORD000000129,1,COD,1,9745.0,Success
ORD000000130,1,COD,1,1525.0,paid
ORD000000131,1,COD,1,30117.0,paid
ORD000000132,1,UPI,1,858.0,paid
ORD000000133,1,Credit Card,3,26636.0,paid
ORD000000134,1,Wallet,1,3874.0,PAID
ORD000000135,1,UPI,1,21744.0,paid
ORD000000136,1,UPI,1,46760.0,paid
ORD000000137,1,UPI,1,6874.0,paid
ORD000000138,1,COD,1,1788.0,paid
ORD000000139,1,UPI,1,4264.0,paid
ORD000000140,1,COD,1,1037.0,paid
ORD000000141,1,COD,1,14955.0,paid
ORD000000142,1,Debit Card,1,1622.0,paid
ORD000000143,1,UPI,1,340.0,paid
ORD000000144,1,COD,1,52048.0,refunded
ORD000000145,1,COD,1,26196.0,paid
ORD000000146,1,Wallet,1,2115.0,paid
ORD000000147,1,COD,1,863.0,paid
ORD000000148,1,Net Banking,1,22683.0,paid
ORD000000149,1,Net Banking,1,3546.0,Success
ORD000000150,1,UPI,1,3929.0,paid
ORD000000151,1,COD,1,534.0,paid
ORD000000152,1,COD,1,23240.0,paid
ORD000000153,1,COD,1,995.0,paid
ORD000000154,1,COD,1,754.0,paid
ORD000000155,1,Credit Card,1,509.0,paid
ORD000000156,1,Wallet,1,5082.0,paid
ORD000000157,1,COD,1,130.0,paid
ORD000000158,1,COD,1,32575.0,completed
ORD000000159,1,COD,1,40365.0,paid
ORD000000160,1,COD,1,6049.0,paid
ORD000000161,1,COD,1,759.0,paid
ORD000000162,1,Wallet,1,43931.0,paid
ORD000000163,1,COD,1,36331.0,paid
ORD000000164,1,COD,1,31715.0,paid
ORD000000165,1,UPI,1,5202.0,refunded
ORD000000166,1,COD,1,32438.0,paid
ORD000000167,1,Wallet,1,785.0,paid
ORD000000168,1,Wallet,1,1260.0,paid
ORD000000169,1,COD,1,3340.0,paid
ORD000000170,1,UPI,1,461.0,paid
ORD000000171,1,Credit Card,1,4893.0,failed
ORD000000172,1,COD,1,13546.0,paid
ORD000000173,1,COD,1,69561.0,paid
ORD000000174,1,Net Banking,1,3875.0,paid
ORD000000175,1,COD,1,2410.0,paid
ORD000000176,1,COD,1,13361.0,paid
ORD000000177,1,COD,1,15911.0,paid
ORD000000178,1,COD,1,533.0,paid
ORD000000179,1,Debit Card,1,64669.0,paid
ORD000000180,1,UPI,1,10843.0,failed
ORD000000181,1,UPI,1,17293.0,paid
ORD000000182,1,COD,1,1306.0,paid
ORD000000183,1,Debit Card,1,1204.0,completed
ORD000000184,1,COD,1,326.0,paid
ORD000000185,1,COD,1,18817.0,paid
ORD000000186,1,COD,1,5122.0,paid
ORD000000187,1,COD,1,16234.0,paid
ORD000000188,1,UPI,1,11971.0,paid
ORD000000189,1,COD,1,3094.0,paid
ORD000000190,1,COD,1,3051.0,paid
ORD000000191,1,COD,1,3829.0,paid
ORD000000192,1,UPI,1,26401.0,paid
ORD000000193,1,COD,1,92803.0,paid
ORD000000194,1,Debit Card,1,31920.0,paid
ORD000000195,1,COD,1,63687.0,paid
ORD000000196,1,COD,1,678.0,paid
ORD000000197,1,COD,1,28977.0,paid
ORD000000198,1,COD,1,40135.0,paid
ORD000000199,1,COD,1,10969.0,paid
ORD000000200,1,COD,1,2310.0,Success
ORD000000201,1,COD,1,9613.0,paid
ORD000000202,1,COD,1,1752.0,paid
ORD000000203,1,COD,1,1627.0,completed
ORD000000204,1,UPI,1,132501.0,paid
ORD000000205,1,COD,1,16119.0,paid
ORD000000206,1,Wallet,1,257.0,paid
ORD000000207,1,COD,1,2777.0,paid
ORD000000208,1,COD,1,7427.0,paid
ORD000000209,1,COD,1,3475.0,Success
ORD000000210,1,Credit Card,1,6053.0,Paid
ORD000000211,1,COD,1,6808.0,paid
ORD000000212,1,Wallet,1,2231.0,paid
ORD000000213,1,UPI,1,866.0,paid
ORD000000214,1,UPI,1,9954.0,completed
ORD000000215,1,COD,1,2530.0,paid
ORD000000216,1,COD,1,47294.0,paid
ORD000000217,1,COD,1,6308.0,paid
ORD000000218,1,Debit Card,1,1397.0,paid
ORD000000219,1,Credit Card,1,1015.0,paid
ORD000000220,1,COD,1,31197.0,paid
ORD000000221,1,COD,1,477.0,paid
ORD000000222,1,COD,1,341.0,paid
ORD000000223,1,Credit Card,1,62985.0,Paid
ORD000000224,1,COD,1,774.0,paid
ORD000000225,1,UPI,1,4412.0,failed
ORD000000226,1,COD,1,99137.0,Refund
ORD000000227,1,Wallet,1,1469.0,paid
ORD000000228,1,COD,1,23969.0,paid
ORD000000229,1,COD,1,1112.0,failed
ORD000000230,1,Wallet,1,1481.0,paid
ORD000000231,1,UPI,1,965.0,paid
ORD000000232,1,COD,1,2315.0,paid
ORD000000233,1,Debit Card,1,8556.0,paid
ORD000000234,1,COD,1,938.0,paid
ORD000000235,1,COD,1,7559.0,refunded
ORD000000236,1,COD,1,1656.0,reversed
ORD000000237,1,COD,1,28417.0,success
ORD000000238,1,UPI,1,1692.0,paid
ORD000000239,1,COD,1,2062.0,paid
ORD000000240,1,COD,1,3575.0,paid
ORD000000241,1,Credit Card,1,373.0,paid
ORD000000242,1,COD,1,1166.0,PAID
ORD000000243,1,COD,1,506.0,paid
ORD000000244,1,COD,1,1800.0,success
ORD000000245,1,Credit Card,1,998.0,failed
ORD000000246,1,COD,1,30967.0,paid
ORD000000247,1,Net Banking,1,1136.0,paid
ORD000000248,1,Debit Card,1,968.0,paid
ORD000000249,1,Credit Card,1,1115.0,paid
ORD000000250,1,Credit Card,1,1826.0,paid
ORD000000251,1,UPI,1,11371.0,paid
ORD000000252,1,Debit Card,1,7486.0,paid
ORD000000253,1,UPI,1,41733.0,paid
ORD000000254,1,COD,1,39584.0,paid
ORD000000255,1,COD,1,20670.0,failed
ORD000000256,1,Credit Card,1,4676.0,refunded
ORD000000257,1,COD,1,2430.0,paid
ORD000000258,1,Credit Card,1,4358.0,failed
ORD000000259,1,Net Banking,1,45811.0,paid
ORD000000260,1,COD,1,81293.0,failed
ORD000000261,1,COD,1,12342.0,failed
ORD000000262,1,COD,1,1655.0,paid
ORD000000263,1,COD,1,5676.0,paid
ORD000000264,1,UPI,1,634.0,paid
ORD000000265,1,COD,1,1287.0,paid
ORD000000266,1,COD,1,14814.0,PAID
ORD000000267,1,COD,1,23531.0,paid
ORD000000268,1,COD,1,53520.0,paid
ORD000000269,1,COD,1,697.0,paid
ORD000000270,1,COD,1,47888.0,paid
ORD000000271,1,Credit Card,1,1893.0,paid
ORD000000272,1,COD,1,3131.0,paid
ORD000000273,1,COD,1,10286.0,paid
ORD000000274,1,COD,1,1779.0,failed
ORD000000275,1,UPI,1,2981.0,paid
ORD000000276,1,Credit Card,1,709.0,paid
ORD000000277,1,COD,1,899.0,paid
ORD000000278,1,UPI,1,31137.0,paid
ORD000000279,1,UPI,1,17163.0,paid
ORD000000280,1,Debit Card,1,492.0,success
ORD000000281,1,UPI,1,1111.0,REFUNDED
ORD000000282,1,UPI,1,117345.0,paid
ORD000000283,1,COD,1,34369.0,paid
ORD000000284,1,COD,1,1493.0,paid
ORD000000285,1,Debit Card,1,977.0,paid
ORD000000286,1,COD,1,2897.0,refunded
ORD000000287,1,COD,1,41492.0,paid
ORD000000288,1,UPI,1,331.0,paid
ORD000000289,1,Debit Card,1,2082.0,Success
ORD000000290,1,COD,1,1443.0,paid
ORD000000291,1,Debit Card,1,2147.0,paid
ORD000000292,1,COD,1,3863.0,paid
ORD000000293,1,Debit Card,1,21392.0,paid
ORD000000294,1,Debit Card,1,18283.0,paid
ORD000000295,1,Credit Card,1,30859.0,failed
ORD000000296,1,Wallet,1,25594.0,paid
ORD000000297,1,Wallet,1,3699.0,paid
ORD000000298,1,Wallet,1,584.0,refunded
ORD000000299,1,COD,1,40974.0,paid
ORD000000300,1,COD,1,27742.0,refunded
ORD000000301,1,COD,1,44185.0,paid
ORD000000302,1,COD,1,2480.0,paid
ORD000000303,1,UPI,1,1536.0,paid
ORD000000304,1,COD,1,4093.0,paid
ORD000000305,1,Wallet,1,18425.0,refunded
ORD000000306,1,COD,1,72313.0,paid
ORD000000307,1,COD,1,11133.0,paid
ORD000000308,1,COD,1,2147.0,paid
ORD000000309,1,COD,1,1804.0,paid
ORD000000310,1,COD,1,1752.0,Success
ORD000000311,1,UPI,1,614.0,refunded
ORD000000312,1,COD,1,1400.0,paid
ORD000000313,1,Credit Card,1,2626.0,paid
ORD000000314,1,COD,1,2707.0,paid
ORD000000315,1,UPI,1,875.0,paid
ORD000000316,1,UPI,1,13322.0,paid
ORD000000317,1,COD,1,80794.0,paid
ORD000000318,1,COD,1,22476.0,paid
ORD000000319,1,Credit Card,1,4140.0,paid
ORD000000320,1,UPI,1,795.0,paid
ORD000000321,1,COD,1,13500.0,failed
ORD000000322,1,UPI,1,610.0,paid
ORD000000323,1,COD,1,3603.0,paid
ORD000000324,1,COD,1,54942.0,Failed
ORD000000325,1,COD,1,9390.0,Success
ORD000000326,1,Credit Card,1,2244.0,failed
ORD000000327,1,COD,1,1043.0,paid
ORD000000328,1,COD,1,755.0,success
ORD000000329,1,COD,1,675.0,paid
ORD000000330,1,COD,1,764.0,paid
ORD000000331,1,COD,1,4632.0,paid
ORD000000332,1,COD,1,15690.0,paid
ORD000000333,1,Credit Card,6,48567.0,paid
ORD000000334,1,Credit Card,1,549.0,paid
ORD000000335,1,COD,1,20838.0,paid
ORD000000336,1,COD,1,19465.0,paid
ORD000000337,1,COD,1,3219.0,paid
ORD000000338,1,Debit Card,1,62451.0,paid
ORD000000339,1,COD,1,2210.0,paid
ORD000000340,1,Credit Card,1,1068.0,paid
ORD000000341,1,COD,1,467.0,paid
ORD000000342,1,UPI,1,5186.0,paid
ORD000000343,1,UPI,1,22916.0,paid
ORD000000344,1,UPI,1,11646.0,paid
ORD000000345,1,COD,1,17218.0,failed
ORD000000346,1,COD,1,54356.0,completed
ORD000000347,1,COD,1,11756.0,paid
ORD000000348,1,Net Banking,1,43815.0,paid
ORD000000349,1,COD,1,2953.0,paid
ORD000000350,1,UPI,1,35931.0,paid
ORD000000351,1,Wallet,1,23556.0,paid
ORD000000352,1,UPI,1,1245.0,paid
ORD000000353,1,COD,1,760.0,Success
ORD000000354,1,COD,1,336.0,captured
ORD000000355,1,Credit Card,1,2039.0,refunded
ORD000000356,1,Debit Card,1,39971.0,Success
ORD000000357,1,Net Banking,1,3504.0,Failed
ORD000000358,1,COD,1,77329.0,paid
ORD000000359,1,Wallet,1,1238.0,paid
ORD000000360,1,COD,1,2259.0,paid
ORD000000361,1,UPI,1,9093.0,paid
ORD000000362,1,COD,1,11745.0,paid
ORD000000363,1,COD,1,72711.0,paid
ORD000000364,1,UPI,1,3643.0,paid
ORD000000365,1,COD,1,4562.0,paid
ORD000000366,1,Wallet,1,1147.0,paid
ORD000000367,1,COD,1,14749.0,paid
ORD000000368,1,Debit Card,1,1316.0,paid
ORD000000369,1,COD,1,5313.0,paid
ORD000000370,1,COD,1,1499.0,success
ORD000000371,1,COD,1,201.0,paid
ORD000000372,1,Credit Card,1,1347.0,paid
ORD000000373,1,Credit Card,1,17814.0,paid
ORD000000374,1,COD,1,3374.0,paid
ORD000000375,1,COD,1,9369.0,paid
ORD000000376,1,COD,1,13047.0,refunded
ORD000000377,1,UPI,1,424.0,paid
ORD000000378,1,UPI,1,23455.0,paid
ORD000000379,1,Credit Card,1,316.0,PAID
ORD000000380,1,COD,1,7783.0,paid
ORD000000381,1,COD,1,1801.0,paid
ORD000000382,1,COD,1,59009.0,paid
ORD000000383,1,Wallet,1,31403.0,captured
ORD000000384,1,COD,1,689.0,paid
ORD000000385,1,COD,1,16316.0,paid
ORD000000386,1,Credit Card,1,258.0,paid
ORD000000387,1,UPI,1,1973.0,paid
ORD000000388,1,COD,1,284.0,paid
ORD000000389,1,COD,1,1667.0,paid
ORD000000390,1,Credit Card,1,1761.0,paid
ORD000000391,1,UPI,1,436.0,paid
ORD000000392,1,COD,1,2207.0,failed
ORD000000393,1,COD,1,77242.0,paid
ORD000000394,1,COD,1,3568.0,paid
ORD000000395,1,UPI,1,8421.0,paid
ORD000000396,1,COD,1,5014.0,paid
ORD000000397,1,COD,1,,failed
ORD000000398,1,COD,1,634.0,paid
ORD000000399,1,Net Banking,1,853.0,paid
ORD000000400,1,COD,1,2128.0,paid
ORD000000401,1,COD,1,82286.0,Failed
ORD000000402,1,COD,1,4076.0,paid
ORD000000403,1,UPI,1,967.0,success
ORD000000404,1,Debit Card,1,3331.0,paid
ORD000000405,1,Net Banking,1,2059.0,paid
ORD000000406,1,COD,1,1415.0,paid
ORD000000407,1,COD,1,3270.0,paid
ORD000000408,1,COD,1,3399.0,paid
ORD000000409,1,Credit Card,1,623.0,paid
ORD000000410,1,UPI,1,3518.0,paid
ORD000000411,1,COD,1,13900.0,paid
ORD000000412,1,COD,1,5104.0,paid
ORD000000413,1,COD,1,11049.0,paid
ORD000000414,1,UPI,1,1414.0,paid
ORD000000415,1,COD,1,28459.0,paid
ORD000000416,1,COD,1,1461.0,paid
ORD000000417,1,COD,1,42840.0,failed
ORD000000418,1,COD,1,83103.0,paid
ORD000000419,1,COD,1,2653.0,paid
ORD000000420,1,UPI,1,8386.0,paid
ORD000000421,1,UPI,1,28167.0,paid
ORD000000422,1,COD,1,17855.0,failed
ORD000000423,1,COD,1,2443.0,paid
ORD000000424,1,Debit Card,1,14500.0,failed
ORD000000425,1,Debit Card,1,24639.0,paid
ORD000000426,1,UPI,1,4175.0,paid
ORD000000427,1,UPI,1,41742.0,paid
ORD000000428,1,Credit Card,1,2392.0,paid
ORD000000429,1,UPI,1,36595.0,paid
ORD000000430,1,COD,1,2514.0,failed
ORD000000431,1,COD,1,21527.0,paid
ORD000000432,1,COD,1,14467.0,paid
ORD000000433,1,Credit Card,1,12725.0,paid
ORD000000434,1,UPI,1,25820.0,paid
ORD000000435,1,Net Banking,1,561.0,paid
ORD000000436,1,COD,1,28501.0,refunded
ORD000000437,1,COD,1,19276.0,paid
ORD000000438,1,UPI,1,24095.0,paid
ORD000000439,1,Debit Card,1,51015.0,paid
ORD000000440,1,Debit Card,1,15489.0,paid
ORD000000441,1,COD,1,689.0,Failed
ORD000000442,1,Net Banking,1,1410.0,paid
ORD000000443,1,Net Banking,1,14274.0,paid
ORD000000444,1,Wallet,1,27786.0,paid
ORD000000445,1,UPI,1,3199.0,Paid
ORD000000446,1,Credit Card,6,61800.0,paid
ORD000000447,1,COD,1,18254.0,paid
ORD000000448,1,COD,1,2206.0,paid
ORD000000449,1,COD,1,3634.0,paid
ORD000000450,1,COD,1,50274.0,paid
ORD000000451,1,Wallet,1,12399.0,paid
ORD000000452,1,UPI,1,1971.0,paid
ORD000000453,1,COD,1,1018.0,paid
ORD000000454,1,Credit Card,6,42132.0,paid
ORD000000455,1,UPI,1,1272.0,paid
ORD000000456,1,COD,1,15100.0,paid
ORD000000457,1,UPI,1,77863.0,refunded
ORD000000458,1,COD,1,23404.0,paid
ORD000000459,1,UPI,1,25596.0,paid
ORD000000460,1,Credit Card,9,26772.0,paid
ORD000000461,1,COD,1,1390.0,paid
ORD000000462,1,COD,1,29393.0,paid
ORD000000463,1,UPI,1,2019.0,paid
ORD000000464,1,Debit Card,1,18556.0,paid
ORD000000465,1,COD,1,13173.0,paid
ORD000000466,1,Credit Card,1,15007.0,completed
ORD000000467,1,UPI,1,33834.0,paid
ORD000000468,1,COD,1,4633.0,success
ORD000000469,1,COD,1,14216.0,paid
ORD000000470,1,COD,1,836.0,paid
ORD000000471,1,COD,1,14749.0,captured
ORD000000472,1,COD,1,2410.0,paid
ORD000000473,1,UPI,1,837.0,paid
ORD000000474,1,UPI,1,71740.0,paid
ORD000000475,1,COD,1,23303.0,paid
ORD000000476,1,COD,1,32261.0,paid
ORD000000477,1,COD,1,805.0,paid
ORD000000478,1,Debit Card,1,44548.0,paid
ORD000000479,1,Wallet,1,78984.0,paid
ORD000000480,1,Credit Card,1,793.0,paid
ORD000000481,1,COD,1,2078.0,paid
ORD000000482,1,Debit Card,1,2371.0,paid
ORD000000483,1,Credit Card,6,43372.0,paid
ORD000000484,1,COD,1,3641.0,Success
ORD000000485,1,COD,1,52175.0,paid
ORD000000486,1,COD,1,66559.0,paid
ORD000000487,1,UPI,1,8383.0,paid
ORD000000488,1,COD,1,5324.0,paid
ORD000000489,1,COD,1,932.0,paid
ORD000000490,1,COD,1,2689.0,paid
ORD000000491,1,COD,1,3099.0,paid
ORD000000492,1,UPI,1,30813.0,refunded
ORD000000493,1,COD,1,911.0,paid
ORD000000494,1,COD,1,9217.0,Success
ORD000000495,1,UPI,1,39520.0,paid
ORD000000496,1,Net Banking,1,2934.0,refunded
ORD000000497,1,COD,1,13212.0,paid
ORD000000498,1,COD,1,38200.0,paid
ORD000000499,1,COD,1,37724.0,paid
ORD000000500,1,COD,1,33544.0,paid
ORD000000501,1,Debit Card,1,74230.0,paid
ORD000000502,1,Wallet,1,4513.0,PAID
ORD000000503,1,COD,1,30303.0,paid
ORD000000504,1,COD,1,100750.0,completed
ORD000000505,1,COD,1,24250.0,refunded
ORD000000506,1,UPI,1,21624.0,failed
ORD000000507,1,COD,1,791.0,paid
ORD000000508,1,COD,1,940.0,paid
ORD000000509,1,COD,1,2336.0,failed
ORD000000510,1,UPI,1,28994.0,paid
ORD000000511,1,Wallet,1,2944.0,failed
ORD000000512,1,COD,1,18996.0,paid
ORD000000513,1,Credit Card,1,1866.0,paid
ORD000000514,1,Credit Card,1,2974.0,paid
ORD000000515,1,COD,1,43231.0,paid
ORD000000516,1,Wallet,1,668.0,paid
ORD000000517,1,UPI,1,1166.0,paid
ORD000000518,1,COD,1,37467.0,paid
ORD000000519,1,UPI,1,471.0,paid
ORD000000520,1,COD,1,31825.0,paid
ORD000000521,1,COD,1,2661.0,success
ORD000000522,1,COD,1,2498.0,paid
ORD000000523,1,UPI,1,2615.0,PAID
ORD000000524,1,Debit Card,1,2844.0,PAID
ORD000000525,1,COD,1,6184.0,paid
ORD000000526,1,COD,1,603.0,paid
ORD000000527,1,COD,1,8380.0,paid
ORD000000528,1,Wallet,1,203.0,paid
ORD000000529,1,COD,1,13700.0,paid
ORD000000530,1,Debit Card,1,4532.0,paid
ORD000000531,1,COD,1,18561.0,success
ORD000000532,1,COD,1,48636.0,paid
ORD000000533,1,COD,1,7072.0,paid
ORD000000534,1,COD,1,28426.0,paid
ORD000000535,1,COD,1,52868.0,paid
ORD000000536,1,Debit Card,1,2885.0,paid
ORD000000537,1,COD,1,33652.0,paid
ORD000000538,1,COD,1,9218.0,paid
ORD000000539,1,UPI,1,1000.0,paid
ORD000000540,1,COD,1,16024.0,completed
ORD000000541,1,UPI,1,79693.0,paid
ORD000000542,1,Credit Card,3,12087.0,paid
ORD000000543,1,Net Banking,1,3909.0,paid
ORD000000544,1,UPI,1,5949.0,paid
ORD000000545,1,COD,1,1479.0,refunded
ORD000000546,1,COD,1,279.0,paid
ORD000000547,1,COD,1,939.0,failed
ORD000000548,1,COD,1,1378.0,paid
ORD000000549,1,COD,1,1955.0,paid
ORD000000550,1,COD,1,42454.0,paid
ORD000000551,1,Net Banking,1,11935.0,refunded
ORD000000552,1,Wallet,1,2378.0,paid
ORD000000553,1,COD,1,2619.0,paid
ORD000000554,1,Net Banking,1,164693.0,paid
ORD000000555,1,Credit Card,1,258.0,paid
ORD000000556,1,COD,1,1851.0,paid
ORD000000557,1,Debit Card,1,4569.0,paid
ORD000000558,1,Wallet,1,1250.0,paid
ORD000000559,1,UPI,1,8576.0,success
ORD000000560,1,Credit Card,1,985.0,failed
ORD000000561,1,COD,1,5148.0,paid
ORD000000562,1,UPI,1,1325.0,paid
ORD000000563,1,UPI,1,37962.0,paid
ORD000000564,1,UPI,1,113579.0,paid
ORD000000565,1,COD,1,1252.0,paid
ORD000000566,1,UPI,1,1578.0,paid
ORD000000567,1,Credit Card,1,3671.0,paid
ORD000000568,1,Credit Card,1,799.0,paid
ORD000000569,1,COD,1,9805.0,success
ORD000000570,1,COD,1,46134.0,paid
ORD000000571,1,COD,1,37367.0,paid
ORD000000572,1,UPI,1,3402.0,success
ORD000000573,1,COD,1,31223.0,paid
ORD000000574,1,Wallet,1,38199.0,refunded
ORD000000575,1,UPI,1,95618.0,paid
ORD000000576,1,COD,1,4913.0,paid
ORD000000577,1,UPI,1,7526.0,REFUNDED
ORD000000578,1,COD,1,,paid
ORD000000579,1,COD,1,7306.0,failed
ORD000000580,1,COD,1,729.0,paid
ORD000000581,1,UPI,1,1190.0,paid
ORD000000582,1,Debit Card,1,4189.0,success
ORD000000583,1,COD,1,3895.0,paid
ORD000000584,1,Credit Card,1,3893.0,paid
ORD000000585,1,COD,1,5191.0,paid
ORD000000586,1,COD,1,82177.0,paid
ORD000000587,1,UPI,1,402.0,paid
ORD000000588,1,Credit Card,1,1474.0,paid
ORD000000589,1,Wallet,1,69165.0,failed
ORD000000590,1,UPI,1,140498.0,paid
ORD000000591,1,COD,1,,paid
ORD000000592,1,COD,1,2701.0,paid
ORD000000593,1,COD,1,33673.0,success
ORD000000594,1,Wallet,1,11447.0,paid
ORD000000595,1,UPI,1,1340.0,paid
ORD000000596,1,COD,1,16164.0,paid
ORD000000597,1,COD,1,39646.0,paid
ORD000000598,1,COD,1,126.0,paid
ORD000000599,1,Credit Card,1,535.0,Paid
ORD000000600,1,COD,1,,failed
ORD000000601,1,Wallet,1,6300.0,paid
ORD000000602,1,COD,1,14126.0,paid
ORD000000603,1,Credit Card,1,3056.0,failed
ORD000000604,1,COD,1,888.0,paid
ORD000000605,1,COD,1,1093.0,refunded
ORD000000606,1,COD,1,735.0,paid
ORD000000607,1,COD,1,50902.0,failed
ORD000000608,1,Net Banking,1,213.0,paid
ORD000000609,1,Credit Card,1,3279.0,success
ORD000000610,1,COD,1,134919.0,paid
ORD000000611,1,COD,1,4337.0,paid
