order_id,customer_id,order_status,order_purchase_ts,order_approved_ts,payment_type
ORD000000051,CUST00000012,delivered,2024-09-30 09:09:16,2024-09-30 13:39:16,UPI
ORD000000052,CUST00000005,shipped,2024-10-10 15:35:36,2024-10-10 20:53:36,COD
ORD000000053,CUST00000014,delivered,2023-10-31 03:11:55,2023-10-31 11:44:55,Wallet
ORD000000054,CUST00000001,delivered,2023-11-30 22:28:45,2023-12-01 00:24:45,COD
ORD000000055,CUST00000016,delivered,2024-12-08 06:09:44,2024-12-08 10:20:44,Wallet
ORD000000056,CUST00000002,cancelled,2024-01-01 23:56:01,2024-01-02 06:36:01,Credit Card
ORD000000057,CUST00000008,delivered,2024-12-29 17:10:11,2024-12-29 21:32:11,Debit Card
ORD000000058,CUST00000001,returned,2024-08-12 07:55:28,2024-08-12 10:51:28,Credit Card
ORD000000059,CUST00000032,delivered,2023-08-14 08:52:11,2023-08-14 09:28:11,UPI
ORD000000060,CUST00000001,returned,2023-07-15 23:30:13,2023-07-16 07:11:13,COD
ORD000000061,CUST00000001,delivered,2023-05-14 14:15:05,2023-05-14 15:04:05,UPI
ORD000000062,CUST00000011,delivered,2024-09-19 16:37:13,2024-09-19 18:26:13,COD
ORD000000063,CUST00000001,shipped,2023-09-21 14:42:08,2023-09-21 17:36:08,COD
ORD000000064,CUST00000002,delivered,2024-05-28 05:42:50,2024-05-28 14:19:50,COD
ORD000000065,CUST00000001,delivered,2024-01-30 03:10:43,2024-01-30 04:42:43,UPI
ORD000000066,CUST00000026,delivered,2024-10-03 00:04:28,2024-10-03 03:59:28,COD
ORD000000067,CUST00000055,processing,2024-08-02 09:43:08,2024-08-02 10:40:08,UPI
ORD000000068,CUST00000001,delivered,2023-02-20 16:24:43,2023-02-20 22:27:43,COD
ORD000000069,CUST00000004,delivered,2023-10-07 07:14:14,2023-10-07 09:28:14,COD
ORD000000070,CUST00000001,shipped,2024-01-13 05:20:13,2024-01-13 07:20:13,COD
ORD000000071,CUST00000002,delivered,2024-09-17 09:19:44,2024-09-17 13:12:44,Debit Card
ORD000000072,CUST00000001,delivered,2024-06-30 05:33:11,2024-06-30 08:41:11,COD
ORD000000073,CUST00000003,delivered,2024-02-08 10:26:21,2024-02-08 11:05:21,Debit Card
ORD000000074,CUST00000001,delivered,2024-09-21 13:15:07,2024-09-21 18:41:07,COD
ORD000000075,CUST00000002,delivered,2023-11-19 06:32:14,2023-11-19 12:36:14,COD
ORD000000076,CUST00000001,delivered,2023-02-13 00:44:31,2023-02-13 06:16:31,COD
ORD000000077,CUST00000001,delivered,2024-10-21 02:26:36,2024-10-21 07:47:36,COD
ORD000000078,CUST00000001,delivered,2024-01-19 09:59:34,2024-01-19 21:58:34,COD
ORD000000079,CUST00000006,processing,2024-09-21 04:15:25,2024-09-21 07:36:25,COD
ORD000000080,CUST00000036,delivered,2023-10-28 19:11:05,2023-10-28 23:15:05,UPI
ORD000000081,CUST00000001,delivered,2024-03-13 03:57:27,2024-03-13 10:07:27,UPI
ORD000000082,CUST00000022,delivered,2023-10-05 00:39:15,2023-10-05 01:44:15,COD
ORD000000083,CUST00000029,delivered,2023-11-03 14:51:51,2023-11-04 02:42:51,Debit Card
ORD000000084,CUST00000001,processing,2023-05-04 14:58:28,2023-05-04 21:17:28,UPI
ORD000000085,CUST00000001,delivered,2024-07-25 16:07:30,2024-07-26 00:29:30,COD
ORD000000086,CUST00000003,delivered,2023-08-28 03:48:04,2023-08-28 07:43:04,COD
ORD000000087,CUST00000034,delivered,2023-09-16 16:20:04,2023-09-17 00:39:04,COD
ORD000000088,CUST00000001,delivered,2023-10-12 20:42:29,2023-10-13 07:14:29,Credit Card
ORD000000089,CUST00000003,delivered,2023-11-17 14:30:52,2023-11-17 21:28:52,COD
ORD000000090,CUST00000003,delivered,2024-03-02 09:22:35,2024-03-02 11:57:35,COD
ORD000000091,CUST00000001,delivered,2024-06-03 11:33:22,2024-06-03 19:47:22,COD
ORD000000092,CUST00000001,delivered,2024-05-28 19:29:27,2024-05-29 05:45:27,COD
ORD000000093,CUST00000001,delivered,2023-11-09 03:26:02,2023-11-09 11:46:02,COD
ORD000000094,CUST00000004,delivered,2023-12-26 17:22:18,2023-12-27 01:21:18,UPI
ORD000000095,CUST00000005,cancelled,2023-04-28 06:28:15,2023-04-28 12:04:15,Wallet
ORD000000096,CUST00000002,delivered,2024-01-14 21:04:04,2024-01-14 23:23:04,COD
ORD000000097,CUST00000001,processing,2024-10-23 03:21:20,2024-10-23 12:00:20,COD
ORD000000098,CUST00000001,delivered,2023-12-11 12:24:16,2023-12-11 17:18:16,COD
ORD000000099,CUST00000001,delivered,2024-11-22 09:36:44,2024-11-22 12:25:44,COD
ORD000000100,CUST00000001,delivered,2023-05-11 11:40:00,2023-05-11 17:37:00,UPI
ORD000000101,CUST00000001,delivered,2024-07-21 09:10:25,2024-07-21 09:30:25,Wallet
ORD000000102,CUST00000001,delivered,2024-06-25 00:53:53,2024-06-25 07:11:53,UPI
ORD000000103,CUST00000007,delivered,2024-06-02 20:35:21,2024-06-03 03:11:21,COD
ORD000000104,CUST00000019,delivered,2024-05-17 12:48:41,2024-05-17 17:36:41,Debit Card
ORD000000105,CUST00000005,delivered,2023-01-15 14:24:26,2023-01-15 22:51:26,Credit Card
ORD000000106,CUST00000009,delivered,2024-07-25 12:31:38,2024-07-25 19:34:38,COD
ORD000000107,CUST00000002,cancelled,2023-12-31 12:41:27,2023-12-31 17:07:27,Wallet
ORD000000108,CUST00000002,delivered,2024-01-16 14:33:12,2024-01-16 23:10:12,UPI
ORD000000109,CUST00000001,delivered,2023-02-09 10:03:57,2023-02-09 11:31:57,Credit Card
ORD000000110,CUST00000001,cancelled,2023-06-09 03:08:40,2023-06-09 09:14:40,COD
ORD000000111,CUST00000001,delivered,2024-11-03 00:42:07,2024-11-03 02:27:07,COD
ORD000000112,CUST00000002,delivered,2023-09-28 12:57:33,2023-09-28 20:12:33,Credit Card
ORD000000113,CUST00000001,delivered,2023-10-29 04:27:57,2023-10-29 04:44:57,COD
ORD000000114,CUST00000001,delivered,2023-06-10 10:53:48,2023-06-10 21:12:48,Wallet
ORD000000115,CUST00000003,delivered,2024-04-20 14:31:29,2024-04-20 14:58:29,COD
ORD000000116,CUST00000021,cancelled,2024-07-24 14:18:12,2024-07-24 20:18:12,COD
ORD000000117,CUST00000001,delivered,2024-11-07 04:02:32,2024-11-07 12:03:32,UPI
ORD000000118,CUST00000013,delivered,2024-02-18 15:51:11,2024-02-18 20:53:11,UPI
ORD000000119,CUST00000014,delivered,2023-08-24 22:34:47,2023-08-25 01:12:47,COD
ORD000000120,CUST00000003,delivered,2023-02-26 08:40:26,2023-02-26 11:42:26,UPI
ORD000000121,CUST00000001,delivered,2023-08-16 02:50:33,2023-08-16 12:57:33,UPI
ORD000000122,CUST00000010,delivered,2024-04-08 12:05:50,2024-04-08 13:43:50,UPI
ORD000000123,CUST00000001,delivered,2024-12-23 14:48:16,2024-12-23 23:21:16,COD
ORD000000124,CUST00000002,delivered,2023-03-05 09:28:56,2023-03-05 13:01:56,UPI
ORD000000125,CUST00000001,delivered,2023-10-27 14:22:59,2023-10-27 14:35:59,COD
ORD000000126,CUST00000001,processing,2024-05-21 18:22:18,2024-05-21 23:17:18,Credit Card
ORD000000127,CUST00000020,delivered,2024-03-01 13:52:22,2024-03-01 15:04:22,UPI
ORD000000128,CUST00000001,delivered,2024-05-07 19:06:51,2024-05-08 04:17:51,COD
ORD000000129,CUST00000005,delivered,2023-12-14 03:30:20,2023-12-14 12:44:20,COD
ORD000000130,CUST00000001,delivered,2023-08-17 07:01:50,2023-08-17 09:41:50,COD
ORD000000131,CUST00000009,delivered,2023-12-26 13:19:43,2023-12-26 22:36:43,COD
ORD000000132,CUST00000003,delivered,2023-10-25 06:13:44,2023-10-25 14:40:44,UPI
ORD000000133,CUST00000001,delivered,2024-06-27 23:51:56,2024-06-28 07:59:56,Credit Card
ORD000000134,CUST00000001,delivered,2023-05-25 16:16:47,2023-05-25 17:17:47,Wallet
ORD000000135,CUST00000002,delivered,2023-12-30 09:53:09,2023-12-30 11:29:09,UPI
ORD000000136,CUST00000001,delivered,2024-12-10 18:34:35,2024-12-10 20:32:35,UPI
ORD000000137,CUST00000001,delivered,2024-01-23 23:35:53,2024-01-24 09:24:53,UPI
ORD000000138,CUST00000003,delivered,2023-07-22 00:15:38,2023-07-22 04:13:38,COD
ORD000000139,CUST00000013,delivered,2024-11-20 13:21:53,2024-11-20 19:44:53,UPI
ORD000000140,CUST00000573,delivered,2023-07-28 10:15:30,2023-07-28 15:55:30,COD
ORD000000141,CUST00000001,delivered,2024-08-02 18:07:14,2024-08-03 06:06:14,COD
ORD000000142,CUST00000001,delivered,2023-04-01 07:23:07,2023-04-01 09:37:07,Debit Card
ORD000000143,CUST00000001,delivered,2024-10-11 07:48:46,2024-10-11 17:09:46,UPI
ORD000000144,CUST00000001,returned,2023-06-02 18:23:47,2023-06-02 19:48:47,COD
ORD000000145,CUST00000102,delivered,2023-10-29 21:22:30,2023-10-30 09:06:30,COD
ORD000000146,CUST00000001,delivered,2024-12-16 03:26:41,2024-12-16 10:15:41,Wallet
ORD000000147,CUST00000001,delivered,2024-03-05 14:45:16,2024-03-05 17:58:16,COD
ORD000000148,CUST00000001,delivered,2023-08-14 18:40:40,2023-08-14 23:39:40,Net Banking
ORD000000149,CUST00000001,delivered,2023-01-01 03:56:53,2023-01-01 12:41:53,Net Banking
ORD000000150,CUST00000010,delivered,2023-01-03 15:52:25,2023-01-03 20:54:25,UPI
ORD000000151,CUST00000001,delivered,2023-08-23 23:30:40,2023-08-24 00:23:40,COD
ORD000000152,CUST00000002,delivered,2024-01-19 20:13:49,2024-01-19 23:58:49,COD
ORD000000153,CUST00000001,delivered,2023-12-27 04:39:57,2023-12-27 15:38:57,COD
ORD000000154,CUST00000001,delivered,2024-11-08 23:45:57,2024-11-09 04:15:57,COD
ORD000000155,CUST00000006,delivered,2024-08-13 08:34:10,2024-08-13 14:29:10,Credit Card
ORD000000156,CUST00000003,delivered,2024-11-10 11:26:14,2024-11-10 13:42:14,Wallet
ORD000000157,CUST00000001,delivered,2024-01-06 06:59:54,2024-01-06 07:23:54,COD
ORD000000158,CUST00000001,delivered,2023-11-29 16:47:09,2023-11-29 20:05:09,COD
ORD000000159,CUST00000001,delivered,2024-02-22 03:01:01,2024-02-22 13:26:01,COD
ORD000000160,CUST00000001,delivered,2023-10-22 17:02:20,2023-10-22 23:34:20,COD
ORD000000161,CUST00000006,delivered,2023-06-29 01:19:35,2023-06-29 05:53:35,COD
ORD000000162,CUST00000009,delivered,2024-10-06 20:16:11,2024-10-07 02:34:11,Wallet
ORD000000163,CUST00000001,shipped,2024-06-01 07:49:25,2024-06-01 17:34:25,COD
ORD000000164,CUST00000015,delivered,2023-10-03 12:26:06,2023-10-03 23:18:06,COD
ORD000000165,CUST00000004,returned,2023-11-29 05:28:20,2023-11-29 09:20:20,UPI
ORD000000166,CUST00000010,delivered,2023-07-11 02:35:00,2023-07-11 12:35:00,COD
ORD000000167,CUST00000028,delivered,2024-02-19 00:33:30,2024-02-19 10:11:30,Wallet
ORD000000168,CUST00000001,delivered,2023-10-14 23:30:16,2023-10-14 23:40:16,Wallet
ORD000000169,CUST00000007,delivered,2024-10-23 03:16:13,2024-10-23 14:00:13,COD
ORD000000170,CUST00000001,delivered,2024-01-20 01:21:50,2024-01-20 04:10:50,UPI
ORD000000171,CUST00000001,cancelled,2023-11-03 12:19:52,2023-11-03 21:31:52,Credit Card
ORD000000172,CUST00000003,delivered,2024-08-01 23:05:49,2024-08-02 09:44:49,COD
ORD000000173,CUST00000001,delivered,2024-11-01 01:59:24,2024-11-01 08:54:24,COD
ORD000000174,CUST00000002,delivered,2024-09-29 06:07:42,2024-09-29 09:57:42,Net Banking
ORD000000175,CUST00000001,delivered,2023-12-30 13:20:26,2023-12-30 23:36:26,COD
ORD000000176,CUST00000001,delivered,2023-10-13 11:49:10,2023-10-13 17:35:10,COD
ORD000000177,CUST00000001,delivered,2024-05-16 03:29:52,2024-05-16 12:43:52,COD
ORD000000178,CUST00000001,delivered,2024-09-29 22:48:57,2024-09-30 06:55:57,COD
ORD000000179,CUST00000015,delivered,2024-12-25 08:35:58,2024-12-25 12:29:58,Debit Card
ORD000000180,CUST00000001,cancelled,2023-12-09 16:14:23,2023-12-09 22:47:23,UPI
ORD000000181,CUST00000098,delivered,2024-05-22 10:59:28,2024-05-22 13:27:28,UPI
ORD000000182,CUST00000012,delivered,2023-09-09 14:03:12,2023-09-09 14:11:12,COD
ORD000000183,CUST00000008,delivered,2023-03-12 21:42:24,2023-03-13 06:00:24,Debit Card
ORD000000184,CUST00000008,delivered,2023-08-05 07:49:17,2023-08-05 10:21:17,COD
ORD000000185,CUST00000046,delivered,2023-01-08 19:32:47,2023-01-09 01:48:47,COD
ORD000000186,CUST00000001,delivered,2024-01-04 07:01:03,2024-01-04 08:17:03,COD
ORD000000187,CUST00000001,delivered,2023-10-22 07:36:23,2023-10-22 15:29:23,COD
ORD000000188,CUST00000001,delivered,2024-05-30 00:47:11,2024-05-30 02:51:11,UPI
ORD000000189,CUST00000015,delivered,2024-04-05 08:19:20,2024-04-05 11:21:20,COD
ORD000000190,CUST00000001,delivered,2023-05-22 14:04:19,2023-05-22 15:54:19,COD
ORD000000191,CUST00000005,delivered,2024-05-26 15:21:25,2024-05-27 02:21:25,COD
ORD000000192,CUST00000002,delivered,2023-06-08 10:19:20,2023-06-08 17:49:20,UPI
ORD000000193,CUST00000002,delivered,2023-01-02 08:33:22,2023-01-02 16:33:22,COD
ORD000000194,CUST00000009,delivered,2024-12-20 05:22:59,2024-12-20 10:17:59,Debit Card
ORD000000195,CUST00000002,delivered,2023-01-19 21:42:02,2023-01-20 08:00:02,COD
ORD000000196,CUST00000008,delivered,2023-10-08 09:13:16,2023-10-08 10:05:16,COD
ORD000000197,CUST00000001,delivered,2024-04-25 07:20:34,2024-04-25 12:20:34,COD
ORD000000198,CUST00000076,delivered,2023-10-21 22:34:57,2023-10-21 23:37:57,COD
ORD000000199,CUST00000001,delivered,2023-10-25 15:16:59,2023-10-25 23:39:59,COD
ORD000000200,CUST00000004,shipped,2024-07-08 20:21:41,2024-07-09 07:45:41,COD
ORD000000201,CUST00000001,delivered,2024-03-25 09:19:45,2024-03-25 18:31:45,COD
ORD000000202,CUST00000001,delivered,2024-01-12 10:19:47,2024-01-12 12:14:47,COD
ORD000000203,CUST00000005,delivered,2024-10-26 17:30:31,2024-10-27 02:58:31,COD
ORD000000204,CUST00000046,delivered,2023-03-31 23:31:07,2023-04-01 02:37:07,UPI
ORD000000205,CUST00000001,delivered,2023-12-20 18:55:43,2023-12-20 23:09:43,COD
ORD000000206,CUST00000003,delivered,2023-07-23 11:05:26,2023-07-23 18:00:26,Wallet
ORD000000207,CUST00000002,delivered,2023-01-27 14:20:55,2023-01-27 19:49:55,COD
ORD000000208,CUST00000002,delivered,2024-12-25 08:22:45,2024-12-25 10:40:45,COD
ORD000000209,CUST00000001,delivered,2024-07-18 10:57:00,2024-07-18 17:20:00,COD
ORD000000210,CUST00000001,delivered,2023-07-03 09:18:36,2023-07-03 11:44:36,Credit Card
ORD000000211,CUST00000001,delivered,2023-10-31 02:23:09,2023-10-31 11:01:09,COD
ORD000000212,CUST00000006,delivered,2023-07-12 20:59:26,2023-07-12 21:55:26,Wallet
ORD000000213,CUST00000021,delivered,2024-06-05 03:17:08,2024-06-05 13:01:08,UPI
ORD000000214,CUST00000015,delivered,2023-10-11 06:25:34,2023-10-11 18:11:34,UPI
ORD000000215,CUST00000001,delivered,2024-11-06 06:04:34,2024-11-06 15:02:34,COD
ORD000000216,CUST00000032,delivered,2023-06-26 05:19:49,2023-06-26 12:37:49,COD
ORD000000217,CUST00000113,delivered,2023-10-10 11:56:32,2023-10-10 17:16:32,COD
ORD000000218,CUST00000009,delivered,2024-11-16 23:03:11,2024-11-17 05:26:11,Debit Card
ORD000000219,CUST00000165,delivered,2024-10-26 07:52:59,2024-10-26 14:03:59,Credit Card
ORD000000220,CUST00000001,delivered,2023-09-09 17:37:20,2023-09-10 04:17:20,COD
ORD000000221,CUST00000001,delivered,2023-12-26 17:35:12,2023-12-26 19:11:12,COD
ORD000000222,CUST00000001,delivered,2024-10-25 18:19:50,2024-10-26 01:29:50,COD
ORD000000223,CUST00000004,delivered,2024-05-24 14:56:22,2024-05-24 21:34:22,Credit Card
ORD000000224,CUST00000002,shipped,2024-04-25 17:46:01,2024-04-25 20:59:01,COD
ORD000000225,CUST00000024,cancelled,2024-05-15 18:16:29,2024-05-15 23:16:29,UPI
ORD000000226,CUST00000001,returned,2024-11-07 16:23:23,2024-11-07 22:05:23,COD
ORD000000227,CUST00000017,delivered,2024-01-10 13:24:13,2024-01-10 13:53:13,Wallet
ORD000000228,CUST00000223,delivered,2023-06-03 02:11:23,2023-06-03 07:57:23,COD
ORD000000229,CUST00000001,cancelled,2023-12-22 12:11:42,2023-12-22 14:18:42,COD
ORD000000230,CUST00000001,delivered,2024-07-14 18:05:17,2024-07-14 22:54:17,Wallet
ORD000000231,CUST00000001,delivered,2023-12-29 08:12:24,2023-12-29 11:35:24,UPI
ORD000000232,CUST00000002,shipped,2023-09-26 05:58:26,2023-09-26 15:01:26,COD
ORD000000233,CUST00000001,delivered,2024-05-20 14:15:39,2024-05-21 01:46:39,Debit Card
ORD000000234,CUST00000001,delivered,2023-12-03 03:10:39,2023-12-03 04:33:39,COD
ORD000000235,CUST00000006,returned,2024-12-13 17:15:26,2024-12-13 20:23:26,COD
ORD000000236,CUST00000003,returned,2023-10-11 23:35:31,2023-10-12 01:33:31,COD
ORD000000237,CUST00000003,delivered,2024-07-04 11:37:15,2024-07-04 17:27:15,COD
ORD000000238,CUST00000001,delivered,2024-02-12 00:40:07,2024-02-12 05:11:07,UPI
ORD000000239,CUST00000001,delivered,2023-03-04 06:30:53,2023-03-04 12:00:53,COD
ORD000000240,CUST00000002,delivered,2023-12-20 00:45:33,2023-12-20 01:40:33,COD
ORD000000241,CUST00000001,delivered,2023-01-21 11:01:22,2023-01-21 21:28:22,Credit Card
ORD000000242,CUST00000007,delivered,2024-09-05 07:26:16,2024-09-05 19:16:16,COD
ORD000000243,CUST00000051,delivered,2024-07-19 18:33:35,2024-07-20 05:29:35,COD
ORD000000244,CUST00000003,delivered,2023-02-08 20:15:39,2023-02-09 02:14:39,COD
ORD000000245,CUST00000072,cancelled,2023-12-31 10:26:23,2023-12-31 18:27:23,Credit Card
ORD000000246,CUST00000001,shipped,2024-12-12 23:28:14,2024-12-13 00:08:14,COD
ORD000000247,CUST00000037,delivered,2023-09-01 10:47:21,2023-09-01 18:08:21,Net Banking
ORD000000248,CUST00000001,delivered,2024-11-01 02:50:40,2024-11-01 10:09:40,Debit Card
ORD000000249,CUST00000012,delivered,2023-05-07 21:47:58,2023-05-08 06:37:58,Credit Card
ORD000000250,CUST00000002,delivered,2023-01-02 09:29:26,2023-01-02 18:52:26,Credit Card
ORD000000251,CUST00000006,delivered,2024-01-22 21:14:59,2024-01-22 21:19:59,UPI
ORD000000252,CUST00000012,delivered,2023-07-23 17:37:23,2023-07-23 22:33:23,Debit Card
ORD000000253,CUST00000017,delivered,2024-10-24 22:33:08,2024-10-25 04:25:08,UPI
ORD000000254,CUST00000034,delivered,2024-05-26 15:29:33,2024-05-26 21:17:33,COD
ORD000000255,CUST00000001,cancelled,2024-06-07 14:13:32,2024-06-07 20:50:32,COD
ORD000000256,CUST00000001,returned,2024-05-26 05:36:03,2024-05-26 14:01:03,Credit Card
ORD000000257,CUST00000003,shipped,2024-05-31 06:42:10,2024-05-31 13:46:10,COD
ORD000000258,CUST00000001,cancelled,2024-07-29 07:54:03,2024-07-29 10:46:03,Credit Card
ORD000000259,CUST00000001,delivered,2024-05-23 07:25:56,2024-05-23 15:24:56,Net Banking
ORD000000260,CUST00000001,cancelled,2024-10-05 14:15:53,2024-10-05 21:27:53,COD
ORD000000261,CUST00000004,cancelled,2024-02-15 20:52:53,2024-02-15 23:19:53,COD
ORD000000262,CUST00000001,delivered,2023-10-11 00:50:59,2023-10-11 08:26:59,COD
ORD000000263,CUST00000001,delivered,2023-12-17 14:50:46,2023-12-17 21:07:46,COD
ORD000000264,CUST00000007,delivered,2023-11-24 18:11:50,2023-11-25 03:51:50,UPI
ORD000000265,CUST00000043,delivered,2023-10-05 10:38:18,2023-10-05 15:23:18,COD
ORD000000266,CUST00000001,delivered,2023-11-04 06:36:34,2023-11-04 17:18:34,COD
ORD000000267,CUST00000008,delivered,2023-10-26 10:22:39,2023-10-26 16:50:39,COD
ORD000000268,CUST00000002,delivered,2023-04-02 19:52:49,2023-04-03 07:09:49,COD
ORD000000269,CUST00000001,delivered,2024-10-04 21:56:50,2024-10-04 23:13:50,COD
ORD000000270,CUST00000001,delivered,2024-08-07 16:24:28,2024-08-07 17:59:28,COD
ORD000000271,CUST00000001,delivered,2023-10-07 11:39:16,2023-10-07 14:20:16,Credit Card
ORD000000272,CUST00001136,delivered,2024-11-28 15:29:23,2024-11-29 01:17:23,COD
ORD000000273,CUST00000001,delivered,2024-12-01 16:14:48,2024-12-01 22:21:48,COD
ORD000000274,CUST00000004,cancelled,2024-10-12 18:25:00,2024-10-13 02:32:00,COD
ORD000000275,CUST00000001,processing,2023-01-21 03:28:17,2023-01-21 03:46:17,UPI
ORD000000276,CUST00000001,delivered,2023-10-22 01:48:11,2023-10-22 06:18:11,Credit Card
ORD000000277,CUST00000002,delivered,2023-12-09 08:17:40,2023-12-09 12:34:40,COD
ORD000000278,CUST00000003,shipped,2024-07-05 06:14:21,2024-07-05 17:18:21,UPI
ORD000000279,CUST00000001,processing,2024-04-22 14:45:17,2024-04-22 16:04:17,UPI
ORD000000280,CUST00000012,delivered,2024-05-31 12:31:18,2024-05-31 22:50:18,Debit Card
ORD000000281,CUST00000003,returned,2024-08-16 22:02:30,2024-08-17 02:30:30,UPI
ORD000000282,CUST00000002,delivered,2024-12-01 18:39:06,2024-12-02 03:57:06,UPI
ORD000000283,CUST00000001,delivered,2024-02-10 03:32:40,2024-02-10 07:05:40,COD
ORD000000284,CUST00000014,delivered,2024-11-01 20:22:38,2024-11-01 21:08:38,COD
ORD000000285,CUST00000003,delivered,2024-09-27 18:29:50,2024-09-28 02:39:50,Debit Card
ORD000000286,CUST00000007,returned,2023-10-07 09:10:13,2023-10-07 11:21:13,COD
ORD000000287,CUST00000004,delivered,2024-09-26 01:23:27,2024-09-26 03:13:27,COD
ORD000000288,CUST00000006,delivered,2023-04-08 19:02:51,2023-04-09 06:03:51,UPI
ORD000000289,CUST00000028,delivered,2023-05-14 04:38:05,2023-05-14 07:25:05,Debit Card
ORD000000290,CUST00000001,processing,2024-12-29 05:17:11,2024-12-29 17:04:11,COD
